timestamp,Scrambling Code Index,Power (dBm),SNR (dB),Freq Offset (Hz)Demod Lock,Demod Acq Time (sec),Bert Lock,Bert Total Bit Count,Bert Total Bit Error,Bit Error Rate
2017-02-03T09:10:38.945146,868,-51.38373868651995,7.518391622087081,-5494006.625,True,0.25,True,31361720,0
2017-02-03T09:10:46.854598,869,-51.38998848708471,8.029931566390632,-5494016.0,True,0.25,True,30977248,0
2017-02-03T09:10:54.755050,870,-51.40499137193517,7.838782987873505,-5494188.0,True,0.25,True,30666296,0
2017-02-03T09:11:02.648501,871,-51.378731455732265,8.061141717213392,-5494283.0,True,0.25,True,30594272,0
2017-02-03T09:11:10.554954,872,-51.38623864737706,7.64194325321053,-5494197.5,True,0.25,True,30857592,0
2017-02-03T09:11:18.438405,873,-51.38248054958062,8.094253248392008,-5494116.875,True,0.25,True,31429040,0
2017-02-03T09:11:26.323856,874,-51.38664878058351,7.76357669163739,-5494181.444444444,True,0.25,True,32046888,0
2017-02-03T09:11:34.206306,875,-51.379976956506674,7.552027414648105,-5494173.333333333,True,0.25,True,32560016,0
2017-02-03T09:11:42.091757,876,-51.57768005410225,7.59783470112281,-5494164.777777778,True,0.25,True,33456120,0
2017-02-03T09:11:49.967208,877,-51.37499135868044,7.994420157167577,-5494092.5,True,0.25,True,30253184,0
2017-02-03T09:11:57.839658,878,-51.37748921078223,7.862636862330842,-5494216.5,True,0.25,True,31123216,0
2017-02-03T09:12:05.727109,879,-51.376648780583515,7.791159925917352,-5494173.222222222,True,0.25,True,32048384,0
2017-02-03T09:12:13.610560,880,-51.379976991852516,7.833432767630532,-5494257.777777778,True,0.25,True,32687176,0
2017-02-03T09:12:21.508012,881,-51.36554758921469,7.769097285533562,-5494164.333333333,True,0.25,True,32539800,0
2017-02-03T09:12:29.426465,882,-51.36331540143142,7.7756300245404875,-5494190.111111111,True,0.25,True,31963456,0
2017-02-03T09:12:37.311916,883,-51.35997699185252,7.830183923067395,-5494147.666666667,True,0.25,True,32302704,0
2017-02-03T09:12:45.211368,884,-51.379999999999995,7.853679084515428,-5494198.555555556,True,0.25,True,32640096,0
2017-02-03T09:12:53.107819,885,-51.38218955171253,7.906794812317845,-5494164.555555556,True,0.25,True,32446320,0
2017-02-03T09:13:01.027272,886,-51.37330007442577,7.800046110550439,-5494207.0,True,0.25,True,32095104,0
2017-02-03T09:13:08.911723,887,-51.36331540143142,7.977879496224473,-5494181.666666667,True,0.25,True,32687176,0
2017-02-03T09:13:16.822176,888,-51.37,7.917908155027983,-5494173.222222222,True,0.25,True,32730560,0
2017-02-03T09:13:24.730628,889,-51.374436491679525,7.519454503125301,-5494223.888888889,True,0.25,True,32020240,0
2017-02-03T09:13:32.630080,890,-51.379976956506674,7.679016152137788,-5494173.222222222,True,0.25,True,31961616,0
2017-02-03T09:13:40.511531,891,-51.37109973839078,7.787995451015858,-5494190.111111111,True,0.25,True,32516632,0
2017-02-03T09:13:48.415983,892,-51.36330775564902,7.694478405072017,-5494198.333333333,True,0.25,True,32696088,0
2017-02-03T09:13:56.299434,893,-51.385527095601624,7.610732754809833,-5494096.777777778,True,0.25,True,33412736,0
2017-02-03T09:14:04.183885,894,-51.37,7.8292452400861166,-5494169.0,True,0.25,True,29953984,0
2017-02-03T09:14:12.080336,895,-51.37,7.918947558789343,-5493949.375,True,0.25,True,29978488,0
2017-02-03T09:14:19.967787,896,-51.38248054958062,7.851439307262934,-5494216.5,True,0.25,True,30850088,0
2017-02-03T09:14:27.865239,897,-51.36872570098252,7.8827189702209575,-5494149.75,True,0.25,True,30764816,0
2017-02-03T09:14:35.804693,898,-51.34997695650667,7.720280016673175,-5494177.777777778,True,0.25,True,33670048,0
2017-02-03T09:14:43.703145,899,-51.386656414611025,7.801168625824485,-5494020.444444444,True,0.25,True,32944488,0
2017-02-03T09:14:51.606597,900,-51.379976956506674,7.739075605218105,-5494173.222222222,True,0.25,True,33347960,0
2017-02-03T09:14:59.508049,901,-51.37,7.812707126031965,-5494207.0,True,0.25,True,33050704,0
2017-02-03T09:15:07.409501,902,-51.37,7.934768094910609,-5494071.222222222,True,0.25,True,33626664,0
2017-02-03T09:15:15.309953,903,-51.37109973839078,8.001935096887552,-5494181.666666667,True,0.25,True,32893680,0
2017-02-03T09:15:23.210405,904,-51.37554758921469,7.865732631973933,-5494207.111111111,True,0.25,True,33563832,0
2017-02-03T09:15:31.124857,905,-51.56068440881413,7.707704580506517,-5494223.777777778,True,0.25,True,32902600,0
2017-02-03T09:15:39.037310,906,-51.36330775564902,7.726827344762156,-5494173.222222222,True,0.25,True,32217432,0
2017-02-03T09:15:46.925761,907,-51.36,7.791207204870717,-5494181.666666667,True,0.25,True,32901104,0
2017-02-03T09:15:54.812212,908,-51.36997695650667,7.838073099840823,-5494130.555555556,True,0.25,True,33339872,0
2017-02-03T09:16:02.712664,909,-51.359976956506664,8.029266704996147,-5494071.333333333,True,0.25,True,33713432,0
2017-02-03T09:16:10.614116,910,-51.37330775564902,7.651858736063693,-5494139.0,True,0.25,True,33584776,0
2017-02-03T09:16:18.491567,911,-51.37497409596921,7.615322556312391,-5494254.5,True,0.25,True,29916928,0
2017-02-03T09:16:26.378018,912,-51.35748921078222,7.823787260822737,-5494159.375,True,0.25,True,30787256,0
2017-02-03T09:16:34.261469,913,-51.36748059431525,7.7578102150437624,-5494140.375,True,0.25,True,31560656,0
2017-02-03T09:16:42.161920,914,-51.55356048130947,7.899243609888095,-5494121.25,True,0.25,True,31339400,0
2017-02-03T09:16:50.045371,915,-51.35332309439141,7.727630529587836,-5494207.111111111,True,0.25,True,31876344,0
