timestamp,Desired Frequency (Hz),FSW Power (dBm),FSW CNR (dB),AIM Power (dBm),AIM SNR (dB),AIM Freq Offset (Hz),AIM Demod Lock,AIM Demod Acq Time (sec)
2017-01-31T10:11:36.429871,274000000.0,-46.8145523071,23.255645751999992,-39.41590712447631,22.797729353563575,-338246.10204081633,True,0.0
2017-01-31T10:11:50.120654,314000000.0,-48.0646133423,21.9977493286,-40.55182749613782,22.272191470939458,278716.67346938775,True,0.0
2017-01-31T10:12:03.907443,354000000.0,-46.8532600403,22.423938751199998,-39.796510112923954,23.983648449413533,275143.4693877551,True,0.0
2017-01-31T10:12:17.715232,394000000.0,-47.8266944885,21.6234703064,-41.20284070031347,22.78322043421003,-351368.28571428574,True,0.0
2017-01-31T10:12:31.541023,434000000.0,-46.9073486328,21.4288253784,-40.90917904685752,20.941169438520003,256017.75510204083,True,0.0
2017-01-31T10:12:45.337812,474000000.0,-46.9780693054,21.509662628200005,-40.627137691317245,21.53126253745462,-340621.67346938775,True,0.0
2017-01-31T10:12:59.070598,514000000.0,-47.2767791748,27.245681762700002,-40.78815073261316,20.982263737802256,266757.9387755102,True,0.25
2017-01-31T10:13:12.807384,554000000.0,-47.2798728943,27.7432365417,-40.436111718751164,21.981067412090066,252406.8775510204,True,0.0
2017-01-31T10:13:26.707179,598000000.0,-47.0239982605,26.4446601868,-40.89313773546998,21.047591536759946,248870.75510204083,True,0.0
2017-01-31T10:13:40.511968,642000000.0,-47.5498504639,26.727325439400005,-41.48978159123036,22.38030054804978,254801.24489795917,True,0.0
2017-01-31T10:13:54.328758,682000000.0,-47.2780265808,27.177722930900003,-41.921009481184576,20.95219837515504,250010.22448979592,True,0.0
2017-01-31T10:14:08.108547,726000000.0,-47.4388198853,26.944770812899996,-41.733666571214,21.258975383615745,236878.75510204083,True,0.0
2017-01-31T10:14:26.695610,974000000.0,-46.4970397949,27.560775756900007,-41.0813994413636,23.929548572478396,122850.02040816327,True,0.25
2017-01-31T10:14:41.400451,1003000000.0,-46.6330375671,27.243312835700003,-41.084573284250816,22.99034629933772,111654.8125,True,0.25
2017-01-31T10:14:56.163295,1032000000.0,-46.3533973694,27.043209075899995,-40.97224007135776,22.64544132111467,101269.51020408163,True,0.25
2017-01-31T10:15:10.896138,1061000000.0,-46.7969818115,26.880058288600004,-41.464066633455204,23.096295541326345,100514.0,True,0.25
2017-01-31T10:15:25.644981,1091000000.0,-46.8653182983,26.736991882400005,-41.41248535379914,22.88040522525725,94909.83333333333,True,0.25
2017-01-31T10:15:40.335822,1120000000.0,-46.348815918,26.9696807861,-41.397070882577715,23.031255261992616,102874.5,True,0.25
2017-01-31T10:15:55.081665,1149000000.0,-46.8240737915,26.817375183099998,-41.48815214392543,24.329373270862273,102093.0612244898,True,0.25
2017-01-31T10:16:09.823508,1178000000.0,-47.1994628906,26.52294158939999,-41.56998081179937,22.665939385703684,91743.04166666667,True,0.25
2017-01-31T10:16:24.584353,1207000000.0,-46.6870040894,26.618644714299997,-41.76162638666536,22.542904846253904,90160.38775510204,True,0.25
2017-01-31T10:16:39.356197,1236000000.0,-46.7790031433,26.248981475799994,-41.61248920249803,22.366358052131496,89390.97916666667,True,0.25
2017-01-31T10:16:54.031037,1266000000.0,-47.3376541138,26.155853271500007,-41.676238190197225,23.812133679739375,93334.47916666667,True,0.25
2017-01-31T10:17:08.781881,1295000000.0,-47.0630302429,25.926258087199997,-41.83549466910074,21.86751470053389,92538.36734693877,True,0.25
2017-01-31T10:17:23.561726,1324000000.0,-47.0805702209,25.718044281100006,-41.822485369266815,21.958154467223387,91027.16666666667,True,0.25
2017-01-31T10:17:38.308569,1353000000.0,-47.3344764709,25.670322418300003,-42.033459255212634,22.493890246207595,71000.61224489796,True,0.25
2017-01-31T10:17:53.052413,1382000000.0,-47.2320404053,25.647033691399997,-42.2333230943914,22.540558083531362,70189.6875,True,0.25
2017-01-31T10:18:07.752253,1411000000.0,-47.3226776123,25.7949676514,-42.136858117377336,22.332842441103317,78931.35416666667,True,0.25
2017-01-31T10:18:26.468324,1674000000.0,-54.2992744446,22.099735260000003,-49.83917247144219,16.78693067355969,761674.0204081633,True,0.0
2017-01-31T10:18:40.261113,1718000000.0,-54.3949813843,22.720619201599995,-49.432844462104114,17.511630428848935,144817.4081632653,True,0.0
2017-01-31T10:18:54.067903,1758000000.0,-54.6778678894,23.120822906500003,-49.93692787245348,17.62293389999446,150766.6530612245,True,0.25
2017-01-31T10:19:07.845691,1802000000.0,-54.5821151733,23.5673294068,-49.55325995122883,17.358777899817877,147223.1224489796,True,0.0
2017-01-31T10:19:21.684482,1846000000.0,-54.6373176575,23.316295623700007,-49.39631399129763,17.63395236182573,132809.306122449,True,0.0
2017-01-31T10:19:35.549275,1886000000.0,-54.9623031616,23.16360473630001,-49.25039080513706,17.311127401832092,138790.91836734695,True,0.0
2017-01-31T10:19:49.289061,1926000000.0,-54.4724998474,23.671184539799995,-49.31878771719232,17.649409175928174,134015.92,True,0.0
2017-01-31T10:20:03.190856,1966000000.0,-55.084274292,22.76745605469999,-48.85346536898669,17.53573540980208,119649.6530612245,True,0.25
2017-01-31T10:20:17.047649,2006000000.0,-54.8800888062,22.830276489199996,-49.10937723368059,17.020492506920892,116066.42857142857,True,0.0
2017-01-31T10:20:30.912442,2046000000.0,-54.7298088074,23.228023529000005,-49.18518329422446,16.940360532611123,120874.64,True,0.0
2017-01-31T10:20:44.809237,2086000000.0,-55.0152740479,22.440635681099998,-49.174790674216695,16.401086836358193,116132.9387755102,True,0.25
2017-01-31T10:20:59.550080,2126000000.0,-55.0802307129,22.323699951200005,-49.35876346410771,16.517424907526845,715101.3265306122,True,0.0
