timestamp,Desired Frequency (Hz),FSW Theoretical Power (dBm),FSW Actual Power (dBm),FSW CNR (dB),AIM Theoretical Power (dBm),AIM Actual Power (dBm),AIM SNR (dB),AIM Freq Offset (Hz),AIM Demod Lock,AIM Demod Acq Time (sec)
2017-01-31T09:22:54.637754,274000000.0,-33.7,-46.874130249,0.10003662110000278,-39.7,-39.441009013339325,22.65968055449569,-338274.1224489796,True,0.0
2017-01-31T09:23:08.315536,314000000.0,-33.7,-48.094959259,0.19559478760000104,-39.7,-40.558762982420895,22.042085812228972,278728.63265306124,True,0.0
2017-01-31T09:23:22.061323,354000000.0,-33.7,-46.8633880615,0.18094635010000104,-39.7,-39.742789385134586,22.02068190811177,275114.5918367347,True,0.25
2017-01-31T09:23:35.874113,394000000.0,-33.7,-47.8507843018,0.19681549070000415,-39.7,-41.21359642619491,21.461726518237807,-351377.7346938776,True,0.25
2017-01-31T09:23:49.738906,434000000.0,-33.7,-46.9546661377,0.1968040466000005,-39.7,-40.908768639293314,21.328572309528006,868221.4489795918,True,0.0
2017-01-31T09:24:03.456690,474000000.0,-33.7,-46.9825363159,0.19599533080000242,-39.7,-40.643587212470074,21.778927902158436,-340589.02040816325,True,0.25
2017-01-31T09:24:17.239479,514000000.0,-33.7,-47.3116874695,0.19233703609999964,-39.7,-40.77733482953323,21.257500502235636,266767.36734693876,True,0.0
2017-01-31T09:24:31.124273,554000000.0,-33.7,-47.2885284424,0.16605758669999915,-39.7,-40.45325243991999,21.756954736807476,252413.95918367346,True,0.0
2017-01-31T09:24:44.875059,598000000.0,-33.7,-47.0342979431,0.15704727170000155,-39.7,-41.02182514773933,21.18585278323207,248828.75510204083,True,0.25
2017-01-31T09:24:58.776854,642000000.0,-33.7,-47.5548362732,0.19041824339999636,-39.7,-41.505191593465995,21.030154401922378,254794.26530612246,True,0.25
2017-01-31T09:25:12.568643,682000000.0,-33.7,-47.3164978027,0.171821594299999,-39.7,-41.92959127540789,21.074958231236206,250019.5918367347,True,0.25
2017-01-31T09:25:26.244426,726000000.0,-33.7,-47.4641189575,0.19565963750000037,-39.7,-41.733459255212644,21.11091134439159,236867.1224489796,True,0.0
2017-01-31T09:25:44.738483,974000000.0,-33.7,-46.4848518372,0.143737792900005,-39.7,-41.083305351601815,23.217206247187733,122817.58333333333,True,0.25
2017-01-31T09:25:59.538330,1003000000.0,-33.7,-46.6358909607,0.1712799071999953,-39.7,-41.088148377534566,23.635162209104344,111683.40816326531,True,0.25
2017-01-31T09:26:14.283173,1032000000.0,-33.7,-46.3618659973,0.13951873779999602,-39.7,-40.969376286420044,23.68342166780511,101278.77551020408,True,0.25
2017-01-31T09:26:28.994015,1061000000.0,-33.7,-46.8121795654,0.1595649719999983,-39.7,-41.467538551768214,23.0783864023298,100478.14285714286,True,0.25
2017-01-31T09:26:43.708856,1091000000.0,-33.7,-46.8682556152,0.1410064698000042,-39.7,-41.41080324604094,22.688383428234363,94923.6530612245,True,0.25
2017-01-31T09:26:58.421698,1120000000.0,-33.7,-46.3426361084,0.17078399660000088,-39.7,-41.39165164040974,23.24661094668538,102877.75,True,0.25
2017-01-31T09:27:13.027533,1149000000.0,-33.7,-46.8476715088,0.12210845950000504,-39.7,-41.496653557761036,21.99060985046367,102110.79166666667,True,0.25
2017-01-31T09:27:27.675371,1178000000.0,-33.7,-47.2016601562,0.13860321050000124,-39.7,-41.58407602760404,22.945618671318037,91742.44897959183,True,0.25
2017-01-31T09:27:42.405213,1207000000.0,-33.7,-46.6514511108,0.1554908753000035,-39.7,-41.78835965916853,22.769930855221272,90202.95918367348,True,0.25
2017-01-31T09:27:57.038050,1236000000.0,-33.7,-46.7602462769,0.15678405759999947,-39.7,-41.62478879352476,22.411446032665907,89325.6875,True,0.25
2017-01-31T09:28:11.865899,1266000000.0,-33.7,-47.3544769287,0.1380233764999943,-39.7,-41.680803246040945,22.577878178575116,93369.63265306123,True,0.25
2017-01-31T09:28:26.576740,1295000000.0,-33.7,-47.0559997559,0.1795196533000052,-39.7,-41.85038938768527,21.9065251331377,92519.6530612245,True,0.25
2017-01-31T09:28:41.319583,1324000000.0,-33.7,-47.0653381348,0.15034866330000085,-39.7,-41.82896820058197,21.5565020228606,91043.55102040817,True,0.25
2017-01-31T09:28:56.004423,1353000000.0,-33.7,-47.3357963562,0.15240859989999933,-39.7,-42.03713721197333,21.63527049778297,70978.89795918367,True,0.25
2017-01-31T09:29:10.700264,1382000000.0,-33.7,-47.1807479858,0.1385116578000023,-39.7,-42.28814839483954,22.280722269677998,70208.24489795919,True,0.25
2017-01-31T09:29:25.350102,1411000000.0,-33.7,-47.3154640198,0.12417221070000295,-39.7,-42.147474805856575,22.438885365610627,78978.77083333333,True,0.25
2017-01-31T09:29:43.934165,1674000000.0,-33.7,-54.2967453003,0.1946640014999943,-39.7,-49.840397844774735,16.655707258125187,761704.4285714285,True,0.0
2017-01-31T09:29:57.717953,1718000000.0,-33.7,-54.4231414795,0.16551971429999668,-39.7,-49.44080277064111,17.430732443620197,144909.22448979592,True,0.25
2017-01-31T09:30:11.533743,1758000000.0,-33.7,-54.6704521179,0.17063140870000382,-39.7,-49.82958668263839,15.75524281285059,150724.55102040817,True,0.0
2017-01-31T09:30:25.282530,1802000000.0,-33.7,-54.6152153015,0.17161941530000036,-39.7,-49.55182560704011,17.4748742630008,759228.8367346938,True,0.0
2017-01-31T09:30:39.083319,1846000000.0,-33.7,-54.6270713806,0.17691421509999827,-39.7,-49.39439162316957,17.66035921894951,132788.36,True,0.0
