timestamp,Frequency (Hz),SFU Power (dBm),SFU SNR (dB),FSW_SNR(dB)
2016-12-22T13:56:08.620695,270000000,-20,8,8.122615814200003
2016-12-22T13:56:17.798220,270000000,-20,9,9.106632232599999
2016-12-22T13:56:26.967744,270000000,-20,10,10.038757324199999
2016-12-22T13:56:36.138269,270000000,-20,11,11.0604782104
2016-12-22T13:56:45.268791,270000000,-20,12,12.068817138699998
2016-12-22T13:56:54.600325,270000000,-20,13,13.116500854500003
2016-12-22T13:57:03.885856,270000000,-20,14,14.167396545399995
2016-12-22T13:57:13.188388,270000000,-20,15,15.115829467799998
2016-12-22T13:57:22.540923,270000000,-20,16,16.156333923300004
2016-12-22T13:57:31.844455,270000000,-20,17,17.2043190002
2016-12-22T13:57:41.228992,270000000,-20,18,18.1613693237
2016-12-22T13:57:50.559525,270000000,-20,19,19.148468017599996
2016-12-22T13:57:59.888059,270000000,-20,20,20.1699867249
2016-12-22T13:58:09.343600,290000000,-20,8,8.1286506653
2016-12-22T13:58:18.542126,290000000,-20,9,9.087890625
2016-12-22T13:58:27.668648,290000000,-20,10,10.0828475952
2016-12-22T13:58:36.832172,290000000,-20,11,11.0894927979
2016-12-22T13:58:46.004697,290000000,-20,12,12.087638855000002
2016-12-22T13:58:55.161220,290000000,-20,13,13.126892089899997
2016-12-22T13:59:04.476753,290000000,-20,14,14.1501579285
2016-12-22T13:59:13.763284,290000000,-20,15,15.187053680399998
2016-12-22T13:59:23.137821,290000000,-20,16,16.151958465600003
2016-12-22T13:59:32.462354,290000000,-20,17,17.187866211
2016-12-22T13:59:41.817889,290000000,-20,18,18.1663131714
2016-12-22T13:59:51.140422,290000000,-20,19,19.164611816400004
2016-12-22T14:00:00.411953,290000000,-20,20,20.160118103100004
2016-12-22T14:00:09.844492,310000000,-20,8,8.113315582299997
2016-12-22T14:00:18.996015,310000000,-20,9,9.085578918400003
2016-12-22T14:00:28.270546,310000000,-20,10,10.104717254699999
2016-12-22T14:00:37.439070,310000000,-20,11,11.149955749500002
2016-12-22T14:00:46.955615,310000000,-20,12,12.126903534
2016-12-22T14:00:56.117139,310000000,-20,13,13.139720916800002
2016-12-22T14:01:05.347667,310000000,-20,14,14.161216735799997
2016-12-22T14:01:14.557193,310000000,-20,15,15.107936859099993
2016-12-22T14:01:23.674715,310000000,-20,16,16.1994056702
2016-12-22T14:01:32.806237,310000000,-20,17,17.214557647700005
2016-12-22T14:01:42.018764,310000000,-20,18,18.188533782899995
2016-12-22T14:01:51.208290,310000000,-20,19,19.160194396999998
2016-12-22T14:02:00.375814,310000000,-20,20,20.2035865784
2016-12-22T14:02:09.749350,330000000,-20,8,8.1514587403
2016-12-22T14:02:18.856871,330000000,-20,9,9.137126922599997
2016-12-22T14:02:27.991394,330000000,-20,10,10.140655517600003
2016-12-22T14:02:37.147917,330000000,-20,11,11.147098541299997
2016-12-22T14:02:46.293440,330000000,-20,12,12.130737304699998
2016-12-22T14:02:55.676977,330000000,-20,13,13.158199310299999
2016-12-22T14:03:05.020512,330000000,-20,14,14.1303672791
2016-12-22T14:03:14.351045,330000000,-20,15,15.128639221100002
2016-12-22T14:03:23.697580,330000000,-20,16,16.2499961854
2016-12-22T14:03:33.010112,330000000,-20,17,17.2240486145
2016-12-22T14:03:42.277643,330000000,-20,18,18.207477569599995
2016-12-22T14:03:51.600176,330000000,-20,19,19.235500335700003
2016-12-22T14:04:00.900708,330000000,-20,20,20.197364807099994
2016-12-22T14:04:10.328247,350000000,-20,8,8.130203247100006
2016-12-22T14:04:19.433768,350000000,-20,9,9.082942962599994
2016-12-22T14:04:28.611293,350000000,-20,10,10.056800842300007
2016-12-22T14:04:37.714813,350000000,-20,11,11.1694793701
2016-12-22T14:04:46.883338,350000000,-20,12,12.188785553000002
2016-12-22T14:04:56.200871,350000000,-20,13,13.203319549500002
2016-12-22T14:05:05.532404,350000000,-20,14,14.150539398100001
2016-12-22T14:05:14.829936,350000000,-20,15,15.168498992899998
2016-12-22T14:05:24.134468,350000000,-20,16,16.235591888400002
2016-12-22T14:05:33.438001,350000000,-20,17,17.2247505188
2016-12-22T14:05:42.772534,350000000,-20,18,18.2599220276
2016-12-22T14:05:52.070066,350000000,-20,19,19.218814849800005
2016-12-22T14:06:01.387599,350000000,-20,20,20.2358322144
2016-12-22T14:06:10.775136,370000000,-20,8,8.145915985100004
2016-12-22T14:06:19.861656,370000000,-20,9,9.0824966431
2016-12-22T14:06:28.963176,370000000,-20,10,10.088317871100003
2016-12-22T14:06:38.190704,370000000,-20,11,11.125263214100002
2016-12-22T14:06:47.335227,370000000,-20,12,12.108123779300001
2016-12-22T14:06:56.642760,370000000,-20,13,13.1398620605
2016-12-22T14:07:05.791283,370000000,-20,14,14.133068084700007
2016-12-22T14:07:15.025811,370000000,-20,15,15.1085586548
2016-12-22T14:07:24.394347,370000000,-20,16,16.218910217199998
2016-12-22T14:07:33.664877,370000000,-20,17,17.179622650200002
2016-12-22T14:07:42.995411,370000000,-20,18,18.2075920105
2016-12-22T14:07:52.328945,370000000,-20,19,19.184959411600005
2016-12-22T14:08:01.649478,370000000,-20,20,20.1747550964
2016-12-22T14:08:10.899007,390000000,-20,8,8.1153526306
2016-12-22T14:08:20.418551,390000000,-20,9,9.048572540199999
2016-12-22T14:08:29.559074,390000000,-20,10,10.1878051757
2016-12-22T14:08:38.678596,390000000,-20,11,11.140296935999999
2016-12-22T14:08:47.797117,390000000,-20,12,12.146972656199999
2016-12-22T14:08:56.896638,390000000,-20,13,13.141941070500003
2016-12-22T14:09:06.018159,390000000,-20,14,14.185619354300002
2016-12-22T14:09:15.177683,390000000,-20,15,15.1377410889
2016-12-22T14:09:24.377210,390000000,-20,16,16.254013061499997
2016-12-22T14:09:33.636739,390000000,-20,17,17.2393531799
2016-12-22T14:09:42.785262,390000000,-20,18,18.267749786399996
2016-12-22T14:09:51.980788,390000000,-20,19,19.2658767701
2016-12-22T14:10:01.153313,390000000,-20,20,20.265083312999998
2016-12-22T14:10:10.503848,410000000,-20,8,8.078281402500004
2016-12-22T14:10:19.697374,410000000,-20,9,9.078796386699999
2016-12-22T14:10:28.822896,410000000,-20,10,10.034378051799997
2016-12-22T14:10:37.957418,410000000,-20,11,11.0205574035
2016-12-22T14:10:47.075940,410000000,-20,12,12.115077972400002
2016-12-22T14:10:56.237464,410000000,-20,13,13.100296020499997
2016-12-22T14:11:05.423989,410000000,-20,14,14.116104126000003
2016-12-22T14:11:14.596514,410000000,-20,15,15.056953430200004
2016-12-22T14:11:23.725036,410000000,-20,16,16.2119827271
2016-12-22T14:11:32.884560,410000000,-20,17,17.227874755899997
2016-12-22T14:11:42.017082,410000000,-20,18,18.2619476319
2016-12-22T14:11:51.286612,410000000,-20,19,19.211071014399998
2016-12-22T14:12:00.429135,410000000,-20,20,20.1982650757
2016-12-22T14:12:09.645662,430000000,-20,8,8.132980346700002
2016-12-22T14:12:19.187208,430000000,-20,9,9.084075927699999
2016-12-22T14:12:28.326731,430000000,-20,10,10.1136283875
2016-12-22T14:12:37.488255,430000000,-20,11,11.085201263400002
2016-12-22T14:12:46.616777,430000000,-20,12,12.152324676599996
2016-12-22T14:12:55.758300,430000000,-20,13,13.094970703199998
2016-12-22T14:13:04.914824,430000000,-20,14,14.171447753899997
2016-12-22T14:13:14.089348,430000000,-20,15,15.265586853000002
2016-12-22T14:13:23.231871,430000000,-20,16,16.2416496277
2016-12-22T14:13:32.404396,430000000,-20,17,17.243270874000004
2016-12-22T14:13:41.590921,430000000,-20,18,18.273700714100002
2016-12-22T14:13:50.821449,430000000,-20,19,19.273284912100003
2016-12-22T14:14:00.052977,430000000,-20,20,20.2249526978
2016-12-22T14:14:09.302506,450000000,-20,8,8.1381072999
2016-12-22T14:14:18.437029,450000000,-20,9,9.0927085876
2016-12-22T14:14:27.597553,450000000,-20,10,10.069622039800002
2016-12-22T14:14:36.774078,450000000,-20,11,11.129310607900003
2016-12-22T14:14:46.019606,450000000,-20,12,12.1346244812
2016-12-22T14:14:55.398143,450000000,-20,13,13.128582000800002
2016-12-22T14:15:04.622670,450000000,-20,14,14.147666931099998
2016-12-22T14:15:13.758193,450000000,-20,15,15.124240875199995
2016-12-22T14:15:23.379743,450000000,-20,16,16.215045929
2016-12-22T14:15:32.576269,450000000,-20,17,17.2438201904
2016-12-22T14:15:41.707792,450000000,-20,18,18.223178863500003
2016-12-22T14:15:50.859315,450000000,-20,19,19.2372550964
2016-12-22T14:16:00.046841,450000000,-20,20,20.179012298499998
2016-12-22T14:16:09.299370,470000000,-20,8,8.112316131600004
2016-12-22T14:16:18.410891,470000000,-20,9,9.075931548999996
2016-12-22T14:16:27.558414,470000000,-20,10,10.099868774500003
2016-12-22T14:16:36.682936,470000000,-20,11,11.0962638855
2016-12-22T14:16:45.880462,470000000,-20,12,12.094299316400004
2016-12-22T14:16:55.026985,470000000,-20,13,13.086158752499998
2016-12-22T14:17:04.166508,470000000,-20,14,14.073997497599997
2016-12-22T14:17:13.351033,470000000,-20,15,15.138130187999998
2016-12-22T14:17:22.518558,470000000,-20,16,16.193359375
2016-12-22T14:17:31.699083,470000000,-20,17,17.208095550499998
2016-12-22T14:17:40.935611,470000000,-20,18,18.2096595764
2016-12-22T14:17:50.138137,470000000,-20,19,19.2257003784
2016-12-22T14:17:59.266660,470000000,-20,20,20.176029205300004
2016-12-22T14:18:08.567191,490000000,-20,8,8.105758666999996
