NA, FW_VERSION, FW_DATE ,,,,,,,,,
HP8720ES,7.74,30-Oct-02,,,,,,,,,
DATE, TIME,,,,,,,,,,
16-Dec-16,15:30:45,,,,,,,,,,
CHAN,MEAS,FORMAT,,,,,,,,,
1,S21,LOG_MAG,,,,,,,,,
CHAN_START_FREQ,CHAN_STOP_FREQ,,,,,,,,,,
250000000,2150000000,,,,,,,,,,
POINTS, POWER, IF_BW,,,,,,,,,
201,0.00E+00,3000,,,,,,,,,
FREQUENCY,UNITS (sfu to aim),109,110,pad,sfu to aim input,sfu to FSW,,,,,
Hz,dB,,,,,,,Freq(MHz),,AIM loss (dB),FSW loss (dB)
2036000000,-4.859,-18.823,-11.931,-5.9655,-10.8245,-18.823,,,,,
2045500000,-4.87,-18.815,-11.964,-5.982,-10.852,-18.815,,,,,
2055000000,-4.863,-18.824,-11.947,-5.9735,-10.8365,-18.824,,,,,
2064500000,-4.894,-18.87,-11.947,-5.9735,-10.8675,-18.87,,,,,
2074000000,-4.902,-18.902,-11.938,-5.969,-10.871,-18.902,,,,,
2083500000,-4.908,-18.926,-11.961,-5.9805,-10.8885,-18.926,,,,,
2093000000,-4.926,-18.897,-11.947,-5.9735,-10.8995,-18.897,,,,,
2102500000,-4.949,-18.882,-11.964,-5.982,-10.931,-18.882,,,,,
2112000000,-4.965,-18.904,-11.956,-5.978,-10.943,-18.904,,,,,
2121500000,-4.957,-18.926,-11.948,-5.974,-10.931,-18.926,,,,,
2131000000,-4.976,-18.999,-11.961,-5.9805,-10.9565,-18.999,,,,,
2140500000,-5.002,-18.989,-11.976,-5.988,-10.99,-18.989,,,,,
2150000000,-4.999,-18.972,-11.954,-5.977,-10.976,-18.972,,,,,
