! FILETYPE CSV
! VERSION 1.0,1
! TIMESTAMP Monday, 30 January 2017 16:24:11
! TIMEZONE (GMT-08:00) Pacific Time (US & Canada)
! NAME Keysight Technologies
! MODEL N9918A
! SERIAL MY53103946
! FIRMWARE_VERSION A.08.04
! GPS_LATITUDE 
! GPS_LONGITUDE 
! GPS_TIMESTAMP 0001-01-01 00:00:00Z
! GPS_SECS_SINCE_LAST_READ 0
! CHECKSUM 1742512948
! CORRECTION1 ON Q
! DATA Freq,S21
! FREQ UNIT Hz
! DATA UNIT dB
BEGIN
30000,-19.7638346359242
1279985,-15.1929679710592
2529970,-15.3165902110427
3779955,-15.6803000668877
5029940,-16.7468181260511
6279925,-17.4595064483178
7529910,-18.2879742863051
8779895,-18.9175833041433
10029880,-19.5214586622026
11279865,-19.9422816001383
12529850,-20.3988829424222
13779835,-20.7557332078863
15029820,-21.1110162132806
16279805,-21.8415544430692
17529790,-22.5195416617123
18779775,-23.4614812825043
20029760,-24.6844709937589
21279745,-25.8233319980589
22529730,-27.1359560081208
23779715,-28.3353244436732
25029700,-29.5453759713364
26279685,-30.238210245311
27529670,-30.971135076526
28779655,-31.0457587044395
30029640,-31.0581277658852
31279625,-30.6071183839638
32529610,-30.0343241374602
33779595,-28.9821101527341
35029580,-28.0493940969341
36279565,-26.9283258222394
37529550,-26.0568982617679
38779535,-24.7193625215712
40029520,-24.1967347993151
41279505,-23.7839046869818
42529490,-23.0160036807986
43779475,-22.7279019933296
45029460,-22.5736126260171
46279445,-22.3943961033854
47529430,-22.2640971018727
48779415,-21.9909226668143
50029400,-21.7997701094367
51279385,-21.438281971276
52529370,-21.1692173165912
53779355,-20.7477382801295
55029340,-20.3430046851572
56279325,-20.022418101477
57529310,-19.6054167579853
58779295,-19.3434196498524
60029280,-19.0768538175596
61279265,-18.7526765364866
62529250,-18.6793573457102
63779235,-18.5609087031309
65029220,-18.5334663651619
66279205,-18.6308931077007
67529190,-18.6530620958101
68779175,-18.7481270004225
70029160,-18.8600650402116
71279145,-19.1269735288789
72529130,-19.3844363977789
73779115,-19.7401054183799
75029100,-20.3595700361796
76279085,-20.965688241042
77529070,-21.7606871848941
78779055,-22.5823774444065
80029040,-23.4225198643761
81279025,-24.2688375924337
82529010,-25.0897380045525
83778995,-25.6104723600969
85028980,-26.0980253273324
86278965,-26.5061955740407
87528950,-26.5084193404315
88778935,-26.519566456604
90028920,-26.4920866035967
91278905,-26.3464596607931
92528890,-26.159317951908
93778875,-26.1218958927855
95028860,-25.8946002435758
96278845,-25.651606027778
97528830,-25.4022289311749
98778815,-25.318862272503
100028800,-25.1959476747064
101278785,-25.3117367124831
102528770,-25.4280194198781
103778755,-25.454843557119
105028740,-25.6028885239951
106278725,-25.7989597130248
107528710,-25.5949809097399
108778695,-25.5761639875027
110028680,-25.3801460833554
111278665,-24.98240376483
112528650,-24.4851635657881
113778635,-23.8461751642843
115028620,-23.2131971062187
116278605,-22.6789215898691
117528590,-22.022823180233
118778575,-21.6240862735226
120028560,-21.2526312756139
121278545,-20.9238988397508
122528530,-20.8144922880965
123778515,-20.7003896071057
125028500,-20.6935917655213
126278485,-20.6266818769585
127528470,-20.6372945113092
128778455,-20.6089546576927
130028440,-20.8049043752765
131278425,-20.768362795572
132528410,-20.8026797502031
133778395,-20.893741860587
135028380,-21.0561047026347
136278365,-21.1976854694632
137528350,-21.5933845933652
138778335,-21.7254520522251
140028320,-22.0558482230847
141278305,-22.2264014044737
142528290,-22.5178093537405
143778275,-22.725522485593
145028260,-22.9231403320806
146278245,-23.105820042743
147528230,-23.1665492633636
148778215,-23.2227460546746
150028200,-23.3688800259818
151278185,-23.6773218568304
152528170,-23.8312415054792
153778155,-24.2352579211346
155028140,-24.4320945517365
156278125,-24.7926943730652
157528110,-24.9857552433337
158778095,-25.2712268728808
160028080,-25.4300082024571
161278065,-25.3883946821514
162528050,-25.4646494199495
163778035,-25.2748562164021
165028020,-25.2374184060863
166278005,-25.0738701134727
167527990,-24.8548373079079
168777975,-24.6389843190751
170027960,-24.2411854852742
171277945,-24.0012861296398
172527930,-23.7237448179752
173777915,-23.5367755320389
175027900,-23.4171132039215
176277885,-23.5924471086128
177527870,-23.4832364403501
178777855,-23.6031673050232
180027840,-23.716352085519
181277825,-24.0543305609728
182527810,-24.3432796700851
183777795,-24.4058721927542
185027780,-24.69406285407
186277765,-24.761629730842
187527750,-24.7815537851968
188777735,-24.5901005894892
190027720,-24.5116194939903
191277705,-24.3506920106401
192527690,-24.1390673524136
193777675,-23.8400029816191
195027660,-23.3345484160645
196277645,-23.1463519122814
197527630,-22.6343941785205
198777615,-22.4767559250368
200027600,-22.117307507859
201277585,-21.9455836986195
202527570,-21.7670269198182
203777555,-21.6758176641839
205027540,-21.7281820828327
206277525,-21.6985019794232
207527510,-21.7294566504198
208777495,-21.8772773291218
210027480,-21.9976261746331
211277465,-22.0139599637762
212527450,-22.2054100888592
213777435,-22.2714427550951
215027420,-22.4831469692177
216277405,-22.6200326732691
217527390,-22.7879164218107
218777375,-22.9432195337364
220027360,-23.0924395441646
221277345,-23.3980885600914
222527330,-23.2891900835961
223777315,-23.2991246439895
225027300,-23.4410136257205
226277285,-23.4931890983199
227527270,-23.3759741362836
228777255,-23.3849194576251
230027240,-23.5419060773103
231277225,-23.5846618035953
232527210,-23.7450883232499
233777195,-23.9665695892459
235027180,-24.2924151516499
236277165,-24.5235517725605
237527150,-24.7443590320489
238777135,-25.0250381865103
240027120,-25.3024320211695
241277105,-25.4879849822328
242527090,-25.6069896315433
