Frequency (Hz),Insertion Loss (dB)
315026220,-10.6135349809651
316276205,-10.6143338051797
317526190,-10.6765297792399
318776175,-10.6953133887246
320026160,-10.7031419276741
321276145,-10.7126897623027
322526130,-10.6984620000267
323776115,-10.7123433599097
325026100,-10.6523370183657
326276085,-10.6263871092564
327526070,-10.5854629117527
328776055,-10.5089616654648
330026040,-10.4542843529655
331276025,-10.3944767410211
332526010,-10.2920608640657
333775995,-10.2199643336124
335025980,-10.149872042845
336275965,-10.0796993937466
337525950,-9.97945364693457
338775935,-9.8993207132136
340025920,-9.80581696907202
341275905,-9.78701723049649
342525890,-9.68625573904586
343775875,-9.63285734268827
345025860,-9.58876853321224
346275845,-9.50682886242745
347525830,-9.4719643927053
348775815,-9.42268496257488
350025800,-9.40452143974731
351275785,-9.34665694526108
352525770,-9.32567050141635
353775755,-9.30941855608927
355025740,-9.31589436420685
356275725,-9.31521974139485
357525710,-9.2689300993231
358775695,-9.29907806375419
360025680,-9.31671618794074
361275665,-9.34609254207689
362525650,-9.38077373559674
363775635,-9.39263694675028
365025620,-9.40785699869739
366275605,-9.47597266729866
367525590,-9.48902268872249
368775575,-9.56718854656376
370025560,-9.5929371022116
371275545,-9.65142815117109
372525530,-9.71614222481544
373775515,-9.82111024010432
375025500,-9.87325307451666
376275485,-9.98840028335222
377525470,-10.0745694156319
378775455,-10.1277963903706
380025440,-10.1732282516409
381275425,-10.2151345825768
382525410,-10.2760942663887
383775395,-10.2880148862766
385025380,-10.3082046549457
386275365,-10.3206493133898
387525350,-10.3271267049431
388775335,-10.2827786644699
390025320,-10.2872974056802
391275305,-10.2645587070245
392525290,-10.2426174595818
393775275,-10.2465482774025
395025260,-10.1701332978473
396275245,-10.1647342795181
397525230,-10.1237772125779
398775215,-10.1060757880334
400025200,-10.0830344537784
401275185,-10.0603638457901
402525170,-10.0000920402329
403775155,-9.94490825771315
405025140,-9.90121439106485
406275125,-9.84208525996182
407525110,-9.79615837367243
408775095,-9.68572940142802
410025080,-9.61206299102479
411275065,-9.5450209617866
412525050,-9.49255561931179
413775035,-9.39624073600069
415025020,-9.3541471009379
416275005,-9.29260737016582
417524990,-9.24259732971767
418774975,-9.20752869163282
420024960,-9.15718783993871
421274945,-9.12080910274967
422524930,-9.12544564701449
423774915,-9.10651053380004
425024900,-9.10073436616529
426274885,-9.12058314099256
427524870,-9.11772977828097
428774855,-9.16595755242159
430024840,-9.20235819490288
431274825,-9.23463252755793
432524810,-9.28727389660268
433774795,-9.33388430550295
435024780,-9.3851120113004
436274765,-9.43588391946264
437524750,-9.47776864808865
438774735,-9.54440368944991
440024720,-9.60417301337384
441274705,-9.6875288317133
442524690,-9.69711437207529
443774675,-9.71685637816737
445024660,-9.76267913419951
446274645,-9.79180441881596
447524630,-9.82416013883521
448774615,-9.84657271242463
450024600,-9.90925048606877
451274585,-9.89002086309381
452524570,-9.91218068260672
453774555,-9.95435142303292
455024540,-9.96183711813695
456274525,-9.96444403928112
457524510,-10.0056377389296
458774495,-9.99789756756557
460024480,-9.97793255502301
461274465,-9.96968731030447
462524450,-9.92141970553751
463774435,-9.90602335941585
465024420,-9.8525714954849
466274405,-9.82108305805937
467524390,-9.74311681318961
468774375,-9.7183364780269
470024360,-9.6772499005446
471274345,-9.62302387962673
472524330,-9.56853711066669
473774315,-9.54742306799124
475024300,-9.5121237101752
476274285,-9.48621066897823
477524270,-9.45988607976828
478774255,-9.44317516929362
480024240,-9.41239755857978
481274225,-9.42089261571912
482524210,-9.41835361109761
483774195,-9.39372564910936
485024180,-9.36751710530154
486274165,-9.39530117523388
487524150,-9.37451223220147
488774135,-9.36673377376722
490024120,-9.33717764254824
491274105,-9.38124863469029
492524090,-9.37886712403695
493774075,-9.37649042689126
495024060,-9.41952380203919
496274045,-9.43308349286566
497524030,-9.45330195297964
498774015,-9.47757675210274
500024000,-9.52515037668824
501273985,-9.52810009589058
502523970,-9.58327690747264
503773955,-9.61278038415343
505023940,-9.65952554112365
506273925,-9.68479557405314
507523910,-9.67516908850403
508773895,-9.71689185975645
510023880,-9.73305878917832
511273865,-9.74900792464119
512523850,-9.7388356262328
513773835,-9.74562355562537
515023820,-9.74315769966895
516273805,-9.76730880913661
517523790,-9.71551617110469
518773775,-9.75324645460235
520023760,-9.74566265461204
521273745,-9.69215207522532
522523730,-9.71193422844047
523773715,-9.71029030313325
525023700,-9.69853942736657
526273685,-9.67715974298929
527523670,-9.68257558414514
528773655,-9.62053506961345
530023640,-9.63470712352875
531273625,-9.61967417781051
532523610,-9.5919966940515
533773595,-9.60353115667519
535023580,-9.58316902773666
536273565,-9.57645988339274
537523550,-9.56147169355162
538773535,-9.5322992703172
540023520,-9.53952280165643
541273505,-9.50303084440671
542523490,-9.52841600934194
543773475,-9.53498436024772
545023460,-9.50402242210627
546273445,-9.48129557965318
547523430,-9.51952856027511
548773415,-9.5267157693667
550023400,-9.54155313160775
551273385,-9.53729241849795
552523370,-9.54946380019685
553773355,-9.56681475936534
555023340,-9.61281771924825
556273325,-9.61680688530326
557523310,-9.63021701827929
558773295,-9.62714555480924
560023280,-9.6841578638181
561273265,-9.67353732047707
562523250,-9.67918312929546
563773235,-9.69289787493128
565023220,-9.7326055560587
566273205,-9.74839202009561
567523190,-9.72797780627611
568773175,-9.74692188489645
570023160,-9.78991159727829
571273145,-9.79406100456978
572523130,-9.77805221332632
573773115,-9.78347969833145
575023100,-9.78687829338463
576273085,-9.81409755103332
577523070,-9.81594205785339
578773055,-9.80923035544238
580023040,-9.81121392801944
581273025,-9.79652035412016
582523010,-9.84975883884086
583772995,-9.8009298149511
585022980,-9.83030230889943
586272965,-9.79732821108791
587522950,-9.81310043995803
588772935,-9.79396110693988
590022920,-9.78951977537785
591272905,-9.75539477997098
592522890,-9.77914253674308
593772875,-9.75978677639002
595022860,-9.73878540904541
596272845,-9.71415921849183
597522830,-9.70782592988515
598772815,-9.71733224506874
600022800,-9.71479328259622
601272785,-9.72412004427799
602522770,-9.72333234973652
603772755,-9.74991663418146
605022740,-9.76214814923113
606272725,-9.75263832350491
607522710,-9.73755560871385
608772695,-9.76671393920202
610022680,-9.77050459053225
611272665,-9.77528322858945
612522650,-9.77937123265469
613772635,-9.81482414009924
615022620,-9.85037765785833
616272605,-9.81283993371664
617522590,-9.87891334881495
618772575,-9.9003320027226
620022560,-9.91429750479593
621272545,-9.90325601659459
622522530,-9.94455702795726
623772515,-9.92831099260647
625022500,-9.97384494286947
626272485,-9.96799717407094
627522470,-9.96234446928793
628772455,-9.97498128834093
630022440,-9.9791052500439
631272425,-9.99592027208767
632522410,-9.99011823682355
633772395,-9.99051699908256
635022380,-9.96703146780681
636272365,-9.96546459774619
637522350,-9.93859366130921
638772335,-9.95091984375499
640022320,-9.94840888326373
641272305,-9.9128836168066
642522290,-9.91580847746736
643772275,-9.92240743085585
645022260,-9.9181314432104
646272245,-9.90053318008938
647522230,-9.92345820922687
648772215,-9.88993258424579
650022200,-9.90030569897336
651272185,-9.88295869582222
652522170,-9.88680466014385
653772155,-9.89169839805652
655022140,-9.91201974771499
656272125,-9.90264479771185
657522110,-9.88826031754884
658772095,-9.92253312061678
660022080,-9.92356090118455
661272065,-9.90933335305884
662522050,-9.95067528905551
663772035,-9.95662261389905
665022020,-9.98109790639765
666272005,-9.99924352546026
667521990,-9.95369264114757
668771975,-9.97549863952085
670021960,-9.98030412758887
671271945,-10.005114170711
672521930,-10.0334329258658
673771915,-10.0245520827884
675021900,-10.0570320836341
676271885,-10.0484079620568
677521870,-10.0523996838561
678771855,-10.0342640948523
680021840,-10.0391963578834
681271825,-10.0599131220762
682521810,-10.1043618389714
683771795,-10.0514892265913
685021780,-10.0587584187416
686271765,-10.0767639335314
687521750,-10.0622627042886
688771735,-10.0937558876349
690021720,-10.0836585937178
691271705,-10.078372298685
692521690,-10.0749925591286
693771675,-10.0834509633125
695021660,-10.0374817678872
696271645,-10.0570078799232
697521630,-10.0376482581738
698771615,-10.0236527001897
700021600,-10.032751998095
701271585,-10.0053050797867
702521570,-9.98514716220328
703771555,-9.98102336581178
705021540,-9.97859681956253
706271525,-9.98467785128831
707521510,-9.94304631565495
708771495,-9.93197715722736
710021480,-9.9507456630855
711271465,-9.92676906064155
712521450,-9.95910915888963
713771435,-9.93251544287039
715021420,-9.97372250516614
716271405,-9.95183469341763
717521390,-9.93136837220985
718771375,-9.97598730840803
720021360,-9.96478112214741
721271345,-10.001802196554
722521330,-10.0038098844934
723771315,-10.0085060611949
725021300,-10.0299899287511
726271285,-10.0285768809674
727521270,-10.055414484331
728771255,-10.0911612536299
730021240,-10.1326138521147
731271225,-10.143378306902
732521210,-10.2171497646451
733771195,-10.2158905084305
735021180,-10.2713586095136
736271165,-10.3407604875746
737521150,-10.3354469567693
738771135,-10.3827931315628
740021120,-10.3826151888759
741271105,-10.4035165702051
742521090,-10.4063055906504
743771075,-10.3858808917295
745021060,-10.4179262975427
746271045,-10.3705802476299
747521030,-10.4188366802236
748771015,-10.3957860668349
750021000,-10.3878884604694
751270985,-10.3615035141475
752520970,-10.3567770407803
753770955,-10.3406977634085
755020940,-10.3211554289093
756270925,-10.2983516837926
757520910,-10.2921510775162
758770895,-10.2893447162648
760020880,-10.2412447800082
761270865,-10.2423550824672
762520850,-10.2148166408218
763770835,-10.1900046114714
765020820,-10.1863964130022
766270805,-10.1506787225564
767520790,-10.1535566895855
768770775,-10.1004753492875
770020760,-10.1317106847065
771270745,-10.1396872227012
772520730,-10.109474666748
773770715,-10.0995809183095
775020700,-10.1159488162835
776270685,-10.0951084859482
777520670,-10.0938838362708
778770655,-10.0854642196626
780020640,-10.0703237820124
781270625,-10.1436632858806
782520610,-10.1144118303919
783770595,-10.1250619825861
785020580,-10.1508687740807
786270565,-10.1292975785856
787520550,-10.1331257599754
788770535,-10.15612744399
790020520,-10.1878153918008
791270505,-10.1905362143735
792520490,-10.21293937913
793770475,-10.2312823867221
795020460,-10.2092113529689
796270445,-10.2244479207538
797520430,-10.2451027222394
798770415,-10.2703203045309
800020400,-10.2411190354301
801270385,-10.2547011070452
802520370,-10.2987955099226
803770355,-10.2875202319706
805020340,-10.3055943347209
806270325,-10.2716169690876
807520310,-10.3434772761539
808770295,-10.3564852134556
810020280,-10.3664802105898
811270265,-10.3807259809627
812520250,-10.4348220844117
813770235,-10.4171937265662
815020220,-10.4404449557213
816270205,-10.4335669937157
817520190,-10.4283789551906
818770175,-10.4352433593114
820020160,-10.4236144602288
821270145,-10.4362792221784
822520130,-10.4297782581026
823770115,-10.4366518721799
825020100,-10.4262196260135
826270085,-10.4115975281588
827520070,-10.4005903360721
828770055,-10.4019313157615
830020040,-10.3946593943723
831270025,-10.3860495467778
832520010,-10.3899149319669
833769995,-10.3967563242077
835019980,-10.3711008260836
836269965,-10.4129664410479
837519950,-10.3843623184006
838769935,-10.373034958877
840019920,-10.3696572243222
841269905,-10.3689867036676
842519890,-10.3596412259598
843769875,-10.3190567725805
845019860,-10.2863579946381
846269845,-10.2683750420096
847519830,-10.2496150034788
848769815,-10.2261931389544
850019800,-10.2168213569956
851269785,-10.2118107119567
852519770,-10.2215760747979
853769755,-10.2261784082822
855019740,-10.2174747750583
856269725,-10.2452734683414
857519710,-10.2628586639813
858769695,-10.2897580541428
860019680,-10.2816356555242
861269665,-10.3509793054347
862519650,-10.3260291364778
863769635,-10.3246810843833
865019620,-10.3385675313911
866269605,-10.3571276314551
867519590,-10.3557154264968
868769575,-10.3810999903976
870019560,-10.3352450836417
871269545,-10.3561765096084
872519530,-10.4208219807665
873769515,-10.4108013072122
875019500,-10.4170836870555
876269485,-10.4226290528946
877519470,-10.466319530754
878769455,-10.4733920881288
880019440,-10.4645788713979
881269425,-10.5180571412515
882519410,-10.5129974925278
883769395,-10.5111679660283
885019380,-10.5154800646416
886269365,-10.4922603244879
887519350,-10.5256632916293
888769335,-10.4854578540374
890019320,-10.4903445653429
891269305,-10.5178995776802
892519290,-10.495576695754
893769275,-10.4929203790816
895019260,-10.5176458560818
896269245,-10.4813408559482
897519230,-10.4998928920334
898769215,-10.485602363647
900019200,-10.4398531379599
901269185,-10.4874764339821
902519170,-10.442914368847
903769155,-10.4419150806302
905019140,-10.4626668279697
906269125,-10.4481132251109
907519110,-10.4515084565776
908769095,-10.4167924809702
910019080,-10.4556142508699
911269065,-10.4499793106035
912519050,-10.4572586223888
913769035,-10.4728062047544
915019020,-10.4683804941948
916269005,-10.4668532001337
917518990,-10.4687538369571
918768975,-10.4949345366481
920018960,-10.4588550575077
921268945,-10.4736638923152
922518930,-10.4503490281185
923768915,-10.4489918655474
925018900,-10.4180388532559
926268885,-10.4370265053735
927518870,-10.4613750010887
928768855,-10.4356638298782
930018840,-10.4989963925542
931268825,-10.4817315383459
932518810,-10.4693967637224
933768795,-10.4776697987272
935018780,-10.4850392845429
936268765,-10.4959958559943
937518750,-10.512191660247
938768735,-10.5301552363793
940018720,-10.5247749447295
941268705,-10.5222688602237
942518690,-10.524508383055
943768675,-10.5039890461399
945018660,-10.5350477051532
946268645,-10.5608864142262
947518630,-10.5372054369446
948768615,-10.5283222135816
950018600,-10.5704643183311
951268585,-10.5515593566523
952518570,-10.5671841326598
953768555,-10.5850779048265
955018540,-10.6319194564899
956268525,-10.6122359012124
957518510,-10.6133025913966
958768495,-10.6333666546521
960018480,-10.6109662672243
961268465,-10.6140459401349
962518450,-10.6403327479634
963768435,-10.6387001442829
965018420,-10.6416754288603
966268405,-10.615289625179
967518390,-10.5992009355213
968768375,-10.5893501268469
970018360,-10.6013579737584
971268345,-10.6047907443968
972518330,-10.6060693227978
973768315,-10.6387364772471
975018300,-10.573626795768
976268285,-10.6499851778584
977518270,-10.621405303447
978768255,-10.6229381218456
980018240,-10.6300262903924
981268225,-10.6483728735604
982518210,-10.6805127649311
983768195,-10.6484903365136
985018180,-10.6533049786298
986268165,-10.6763967761109
987518150,-10.6664706238339
988768135,-10.6651099676332
990018120,-10.6388599349501
991268105,-10.6559807759324
992518090,-10.6667573746111
993768075,-10.6483017612886
995018060,-10.6543949174672
996268045,-10.6600800122911
997518030,-10.6594644126282
998768015,-10.6491530758917
1000018000,-10.6864699921521
1001267985,-10.6440100697604
1002517970,-10.6370156834528
1003767955,-10.6623041053609
1005017940,-10.652983227305
1006267925,-10.6891284265283
1007517910,-10.6610565472138
1008767895,-10.6611522213759
1010017880,-10.6641912498836
1011267865,-10.6953504047783
1012517850,-10.6933433412595
1013767835,-10.6748263311946
1015017820,-10.7124546510701
1016267805,-10.7100554163007
1017517790,-10.7247915306224
1018767775,-10.710900837114
1020017760,-10.7109694015358
1021267745,-10.7367836919022
1022517730,-10.7044013693919
1023767715,-10.702192774718
1025017700,-10.682472085029
1026267685,-10.7145043501621
1027517670,-10.6842142654952
1028767655,-10.6947807806305
1030017640,-10.6902431561508
1031267625,-10.7162925245316
1032517610,-10.7000342798826
1033767595,-10.7140513339725
1035017580,-10.6770093502029
1036267565,-10.6896017961786
1037517550,-10.6937097641649
1038767535,-10.7152362197614
1040017520,-10.713463059306
1041267505,-10.6871607453908
1042517490,-10.7335743835424
1043767475,-10.7233444312039
1045017460,-10.6715473366131
1046267445,-10.7221337126315
1047517430,-10.6835160152135
1048767415,-10.6610660830079
1050017400,-10.6381180815586
1051267385,-10.6727416503179
1052517370,-10.6399057027916
1053767355,-10.6802215354214
1055017340,-10.6860089471142
1056267325,-10.6828061666575
1057517310,-10.7216423673346
1058767295,-10.7615519057758
1060017280,-10.7554269523394
1061267265,-10.7560146095431
1062517250,-10.7858500952177
1063767235,-10.7378469376788
1065017220,-10.7847062790184
1066267205,-10.8052563015539
1067517190,-10.7846811235948
1068767175,-10.8354794732238
1070017160,-10.7781097916091
1071267145,-10.8398623261192
1072517130,-10.80660211122
1073767115,-10.8129100496388
1075017100,-10.8031203542087
1076267085,-10.8413730308184
1077517070,-10.8528330149609
1078767055,-10.8523764960118
1080017040,-10.8475590029591
1081267025,-10.8693107850494
1082517010,-10.8611703596825
1083766995,-10.8585807494398
1085016980,-10.8516631312169
1086266965,-10.8639493339186
1087516950,-10.8759845941245
1088766935,-10.8660227397281
1090016920,-10.8718399730284
1091266905,-10.8446258959998
1092516890,-10.8499627219477
1093766875,-10.8309833447366
1095016860,-10.8420920498288
1096266845,-10.8296624840374
1097516830,-10.8581103824007
1098766815,-10.8733759556474
1100016800,-10.8217619678496
1101266785,-10.8536773563644
1102516770,-10.8862303553422
1103766755,-10.8841553273503
1105016740,-10.8549802682084
1106266725,-10.8455735149091
1107516710,-10.8825365413921
1108766695,-10.921211705943
1110016680,-10.8743053403494
1111266665,-10.8935996092683
1112516650,-10.9119563500464
1113766635,-10.9465225828489
1115016620,-10.9378609055131
1116266605,-10.9493684638768
1117516590,-10.9324627683256
1118766575,-10.9709411722791
1120016560,-10.9666891739115
1121266545,-10.9287609720877
1122516530,-10.9840002659137
1123766515,-10.9381492460341
1125016500,-10.9089291945355
1126266485,-10.8963565709741
1127516470,-10.8947657017957
1128766455,-10.8906437425322
1130016440,-10.8830681032205
1131266425,-10.8734345082647
1132516410,-10.8827069621564
1133766395,-10.8672676220604
1135016380,-10.8782810489195
1136266365,-10.9073882630756
1137516350,-10.902410020943
1138766335,-10.8968584121302
1140016320,-10.8855269030198
1141266305,-10.9174253769022
1142516290,-10.8952384590078
1143766275,-10.9239537733302
1145016260,-10.9411480614394
1146266245,-10.9369728376799
1147516230,-10.9474031210446
1148766215,-10.9694310434893
1150016200,-10.9841074083254
1151266185,-10.9772627457656
1152516170,-11.0333129327667
1153766155,-11.0293998533594
1155016140,-11.0525829345511
1156266125,-11.0812439567527
1157516110,-11.1144454737687
1158766095,-11.1027017344141
1160016080,-11.1257670999644
1161266065,-11.1597975424097
1162516050,-11.1525866885201
1163766035,-11.184384423345
1165016020,-11.1601726410368
1166266005,-11.1468931241067
1167515990,-11.1379616233564
1168765975,-11.1243268726521
1170015960,-11.1109486134638
1171265945,-11.0806634125121
1172515930,-11.0708754501584
1173765915,-11.0872765396154
1175015900,-11.0486563710471
1176265885,-11.0422455620556
1177515870,-11.029499889359
1178765855,-11.032091858217
1180015840,-11.0056163745716
1181265825,-10.9845604985639
1182515810,-10.9882598873458
1183765795,-10.9848677421688
1185015780,-10.9779525283019
1186265765,-10.9872778399487
1187515750,-10.9693567487557
1188765735,-10.9900138342061
1190015720,-10.9854744996937
1191265705,-10.9194309316278
1192515690,-10.9262161768194
1193765675,-10.914024824544
1195015660,-10.9260622244408
1196265645,-10.9138077995501
1197515630,-10.9301791432384
1198765615,-10.9215453755569
1200015600,-10.9291775219997
1201265585,-10.9538295248755
1202515570,-10.968031842652
1203765555,-10.981206290225
1205015540,-11.001251722054
1206265525,-11.0137408912501
1207515510,-11.0145188039305
1208765495,-11.0401722569256
1210015480,-11.0640194029583
1211265465,-11.068988446983
1212515450,-11.1122430251863
1213765435,-11.0941358187468
1215015420,-11.13247510069
1216265405,-11.1579497045115
1217515390,-11.1199571450345
1218765375,-11.115945379836
1220015360,-11.1492405017063
1221265345,-11.1451180620373
1222515330,-11.1414083808422
1223765315,-11.1316970421903
1225015300,-11.1290226656635
1226265285,-11.144046992519
1227515270,-11.1241382958514
1228765255,-11.1264529097562
1230015240,-11.1372740053454
1231265225,-11.1679329099561
1232515210,-11.1191760904012
1233765195,-11.1553650764301
1235015180,-11.1555487799333
1236265165,-11.1792094241181
1237515150,-11.1705973549856
1238765135,-11.1812020590914
1240015120,-11.1650929928143
1241265105,-11.1303206904743
1242515090,-11.2017685209707
1243765075,-11.1476570854432
1245015060,-11.1513377658698
1246265045,-11.1729361789227
1247515030,-11.1432738936129
1248765015,-11.1162238765015
1250015000,-11.1213976987498
1251264985,-11.1281763735329
1252514970,-11.1336354338436
1253764955,-11.1519885675238
1255014940,-11.1342050480812
1256264925,-11.138835885084
1257514910,-11.155529585801
1258764895,-11.1201548936637
1260014880,-11.1742129536552
1261264865,-11.1905458356104
1262514850,-11.1608774031027
1263764835,-11.1347977343723
1265014820,-11.1395909737668
1266264805,-11.1726295725435
1267514790,-11.1237469272385
1268764775,-11.1625874245382
1270014760,-11.1192340543076
1271264745,-11.109167980691
1272514730,-11.1070660462209
1273764715,-11.1378964446944
1275014700,-11.1342470817253
1276264685,-11.1340099353644
1277514670,-11.1331203971955
1278764655,-11.126874031525
1280014640,-11.1284859736838
1281264625,-11.1634671566933
1282514610,-11.1617285973596
1283764595,-11.1402469004785
1285014580,-11.1698823248639
1286264565,-11.1678463872915
1287514550,-11.2281546264148
1288764535,-11.2203864137535
1290014520,-11.2176372089374
1291264505,-11.2377293734064
1292514490,-11.2371113284311
1293764475,-11.2618160061465
1295014460,-11.2523743397911
1296264445,-11.2506815457369
1297514430,-11.24356075381
1298764415,-11.3022807476245
1300014400,-11.2652256873715
1301264385,-11.2730659106413
1302514370,-11.2943265820487
1303764355,-11.2771001935055
1305014340,-11.3297486759544
1306264325,-11.3362030203449
1307514310,-11.345161889275
1308764295,-11.36240155474
1310014280,-11.3496209488454
1311264265,-11.3773067591563
1312514250,-11.3707765916921
1313764235,-11.3514098599645
1315014220,-11.3762320883324
1316264205,-11.3539898275188
1317514190,-11.3917037085736
1318764175,-11.3737858823034
1320014160,-11.3467458377911
