,timestamp,Desired Frequency (Hz),Measured Power (dB),adjusted value (dB),SLG output Power,SLG new Power
0,2017-02-10T15:29:51.763728,954000000.0,-46.3527145386,17.541447575400007,-22.2,-39.7414475754
1,2017-02-10T15:29:53.280815,1005000000.0,-46.2132453918,17.8619349162,-22.9,-40.7619349162
2,2017-02-10T15:29:54.797902,1056000000.0,-47.6379776001,16.670500042900002,-29.1,-45.770500042900004
3,2017-02-10T15:29:56.308988,1107000000.0,-47.5893096924,16.797806042599994,-22.3,-39.0978060426
4,2017-02-10T15:29:57.815074,1158000000.0,-47.6822624207,16.979292025300005,-23.6,-40.579292025300006
5,2017-02-10T15:29:59.330161,1209000000.0,-48.007549285900005,16.950607776099993,-30.2,-47.15060777609999
6,2017-02-10T15:30:00.845247,1260000000.0,-49.2563018799,15.993624857100002,-23.8,-39.7936248571
7,2017-02-10T15:30:02.348333,1311000000.0,-49.4711608887,15.7861276983,-24.9,-40.6861276983
8,2017-02-10T15:30:03.839419,1362000000.0,-49.78931427,15.758467791000001,-31.0,-46.758467791
9,2017-02-10T15:30:05.353505,1413000000.0,-49.3453521729,16.371260207099994,-24.0,-40.37126020709999
10,2017-02-10T15:30:06.842590,1464000000.0,-49.2011947632,16.613176868799997,-24.9,-41.513176868799995
11,2017-02-10T15:30:08.356677,1515000000.0,-49.696647643999995,16.224554427,-30.7,-46.924554427000004
12,2017-02-10T15:30:09.862763,1566000000.0,-50.4431114197,15.590494609299995,-23.8,-39.39049460929999
13,2017-02-10T15:30:11.379850,1617000000.0,-50.1203308105,16.3932895285,-25.2,-41.593289528499994
14,2017-02-10T15:30:12.873935,1668000000.0,-50.4798126221,16.025129542900004,-31.4,-47.4251295429
15,2017-02-10T15:30:14.390022,1719000000.0,-50.6934738159,16.214072235100005,-24.3,-40.5140722351
16,2017-02-10T15:30:15.898108,1770000000.0,-50.7983779907,16.4638306573,-25.5,-41.9638306573
17,2017-02-10T15:30:17.415195,1822000000.0,-51.1924781799,16.274382676100004,-32.0,-48.274382676100004
