timestamp,Desired Frequency (Hz),FSW Power (dBm),FSW CNR (dB),AIM Power (dBm),AIM SNR (dB),AIM Freq Offset (Hz),AIM Demod Lock,AIM Demod Acq Time (sec)
2017-02-13T17:50:40.668366,1025000000.0,-71.859161377,5.67557573318,-67.26534226644618,8.739088179087176,-4387999.816326531,True,0.25
2017-02-13T17:50:59.999471,1076000000.0,-72.1660995483,5.64405202866,-67.7936896951519,8.884431106402108,-4800871.846938776,True,0.25
2017-02-13T17:51:19.429583,1127000000.0,-71.9561386108,5.71660137177,-67.99463082310797,10.49924620633562,-4384620.288659794,True,0.5
2017-02-13T17:51:38.701685,1178000000.0,-72.6534194946,5.65006494522,-68.04529007790434,8.688826825093951,-4806488.020408163,True,0.5
2017-02-13T17:51:57.992788,1229000000.0,-72.3923873901,5.69865226746,-68.20139412402555,8.532842827364355,-4814451.434343434,True,0.25
2017-02-13T17:52:17.402898,1280000000.0,-72.7232055664,5.62243652344,-68.1982681811026,8.417470059012427,-4398349.959183673,True,0.25
2017-02-13T17:52:36.741004,1331000000.0,-72.3985214233,5.63373661041,-68.28277644404753,8.019381589456115,-4810477.6122448975,True,0.25
2017-02-13T17:52:56.105112,1382000000.0,-71.7700881958,5.69064378738,-67.6251419129676,8.07170721278369,-4828009.0,True,0.25
2017-02-13T17:53:15.431217,1433000000.0,-71.9020233154,5.60462284088,-67.867885557546,8.544876069320074,-4411937.244897959,True,0.25
2017-02-13T17:53:34.562312,1484000000.0,-71.5896072388,5.67100143433,-67.44174682529527,8.595593152640795,-4419300.434343434,True,0.25
2017-02-13T17:53:53.993423,1535000000.0,-71.7222900391,5.70341396332,-67.74952914361494,8.638524126219608,-4841541.151515151,True,0.25
2017-02-13T17:54:13.504539,1586000000.0,-71.6025848389,5.69185638428,-67.28908129466394,8.525216901048564,-4425478.102040816,True,0.25
2017-02-13T17:54:32.782642,1637000000.0,-71.406036377,5.70527791977,-67.45989705712303,9.09032533345769,-4433434.581632653,True,0.25
2017-02-13T17:54:52.195752,1688000000.0,-71.8167114258,5.73351669312,-68.17258515555677,9.050040697635428,-4855092.734693877,True,0.25
2017-02-13T17:55:11.663866,1739000000.0,-72.0041351318,5.72163534164,-67.77062460413619,9.227667546275335,-4439033.428571428,True,0.25
2017-02-13T17:55:30.965970,1790000000.0,-72.1630783081,5.7131280899,-67.79380889401966,9.475446835325874,-4446993.535353536,True,0.25
2017-02-13T17:55:50.256073,1842000000.0,-72.030166626,5.66455078125,-67.74518601242485,9.42835348854802,-4458959.535353536,True,0.25
2017-02-13T17:56:09.586179,1893000000.0,-71.692489624,5.73299837112,-66.98362033891442,9.778533291910147,-4457372.795918368,True,0.25
2017-02-13T17:56:28.797277,1944000000.0,-71.6653213501,5.74203109741,-67.35196541655587,8.822296490228101,-4455741.5050505055,True,0.25
2017-02-13T17:56:48.259391,1995000000.0,-71.5519332886,5.70334911346,-66.95972281304925,9.514087757086784,-4472527.717171717,True,0.25
2017-02-13T17:57:07.589496,2046000000.0,-71.2959289551,5.76473522186,-66.1641992592292,9.029266446692345,-4470929.313131313,True,0.25
2017-02-13T17:57:26.940603,2097000000.0,-71.5995941162,5.6793012619,-66.3374249972582,8.78583843114351,-4469305.744897959,True,0.25
