timestamp,Desired Frequency (Hz),Measured Power (dB)
2017-02-13T11:37:11.541618,954000000,-46.3621711731
2017-02-13T11:37:13.057705,1005000000,-46.1806564331
2017-02-13T11:37:14.550790,1056000000,-47.6154251099
2017-02-13T11:37:16.050876,1107000000,-47.5963897705
2017-02-13T11:37:17.555962,1158000000,-47.671913147
2017-02-13T11:37:19.068049,1209000000,-47.9684829712
2017-02-13T11:37:20.547133,1260000000,-49.2582130432
2017-02-13T11:37:22.055219,1311000000,-49.4819984436
2017-02-13T11:37:23.570306,1362000000,-49.7661552429
2017-02-13T11:37:25.078392,1413000000,-49.3543548584
2017-02-13T11:37:26.555477,1464000000,-49.2688560486
2017-02-13T11:37:28.062563,1515000000,-49.7475090027
2017-02-13T11:37:29.573649,1566000000,-50.4333648682
2017-02-13T11:37:31.085736,1617000000,-50.1059417725
2017-02-13T11:37:32.562820,1668000000,-50.4985656738
2017-02-13T11:37:34.071907,1719000000,-50.6822433472
2017-02-13T11:37:35.583993,1770000000,-50.7904510498
2017-02-13T11:37:37.070078,1822000000.0,-51.1613044739
2017-02-13T11:37:38.547163,1873000000.0,-51.2927055359
2017-02-13T11:37:40.078250,1924000000.0,-50.9066467285
2017-02-13T11:37:41.580336,1975000000.0,-51.8745994568
2017-02-13T11:37:43.107424,2026000000.0,-51.2122154236
2017-02-13T11:37:44.588508,2077000000.0,-56.8220825195
2017-02-13T11:37:46.118596,994000000,-52.5310096741
2017-02-13T11:37:47.630682,1045000000,-53.8953170776
2017-02-13T11:37:49.141769,1096000000,-54.8687057495
2017-02-13T11:37:50.626854,1147000000,-54.4856719971
2017-02-13T11:37:52.123939,1198000000,-55.1810874939
2017-02-13T11:37:53.634026,1249000000,-55.8679656982
2017-02-13T11:37:55.149112,1300000000,-56.1572647095
2017-02-13T11:37:56.632197,1351000000,-56.6998825073
2017-02-13T11:37:58.140283,1402000000,-56.2697410583
2017-02-13T11:37:59.637369,1453000000,-55.934337616
2017-02-13T11:38:01.151456,1504000000,-56.5938186646
2017-02-13T11:38:02.636541,1555000000,-56.8372802734
2017-02-13T11:38:04.132626,1606000000,-56.5684967041
2017-02-13T11:38:05.643713,1657000000,-57.1978797913
2017-02-13T11:38:07.147799,1708000000,-57.8535079956
2017-02-13T11:38:08.620883,1759000000,-58.0304679871
2017-02-13T11:38:10.123969,1810000000,-57.9666442871
2017-02-13T11:38:11.641056,1862000000.0,-57.9566650391
2017-02-13T11:38:13.143141,1913000000.0,-57.5458068848
2017-02-13T11:38:14.620226,1964000000.0,-58.7074432373
2017-02-13T11:38:16.127312,2015000000.0,-58.5363426208
2017-02-13T11:38:17.633398,2066000000.0,-58.1025161743
2017-02-13T11:38:20.615569,2117000000.0,-60.4423484802
2017-02-13T11:38:22.178658,974000000,-46.331829071
2017-02-13T11:38:23.689745,1025000000,-47.0979537964
2017-02-13T11:38:25.199831,1076000000,-48.6117935181
2017-02-13T11:38:26.683916,1127000000,-48.4519233704
2017-02-13T11:38:28.192002,1178000000,-49.4725646973
2017-02-13T11:38:29.704089,1229000000,-49.3909797668
2017-02-13T11:38:31.204175,1280000000,-49.9982147217
2017-02-13T11:38:32.713261,1331000000,-49.9303474426
2017-02-13T11:38:34.220347,1382000000,-49.8698959351
2017-02-13T11:38:35.725433,1433000000,-49.9422454834
2017-02-13T11:38:37.231519,1484000000,-50.3039588928
2017-02-13T11:38:38.757607,1535000000,-51.018913269
2017-02-13T11:38:40.270693,1586000000,-50.5254592896
2017-02-13T11:38:41.794780,1637000000,-50.7614974976
2017-02-13T11:38:43.308867,1688000000,-51.5815544128
2017-02-13T11:38:44.826954,1739000000,-52.0453720093
2017-02-13T11:38:46.342040,1790000000,-52.2784767151
2017-02-13T11:38:47.860127,1842000000.0,-51.8527030945
2017-02-13T11:38:49.382214,1893000000.0,-51.5817451477
2017-02-13T11:38:50.910302,1944000000.0,-51.3423156738
2017-02-13T11:38:52.423388,1995000000.0,-52.5542144775
2017-02-13T11:38:53.952476,2046000000.0,-53.2477912903
2017-02-13T11:38:55.489564,2097000000.0,-52.709197998
