timestamp,Desired Frequency (Hz),FSW Power (dBm),FSW CNR (dB),AIM Power (dBm),AIM SNR (dB),AIM Freq Offset (Hz),AIM Demod Lock,AIM Demod Acq Time (sec)
2017-02-14T08:03:21.449038,974000000.0,-72.0325164795,5.68126678467,-67.3921545931474,10.75275738079349,-4370469.4948453605,True,0.5
2017-02-14T08:03:40.820146,1025000000.0,-71.9637451172,5.66209125519,-67.32218248846607,8.879664939334036,-4792915.102040816,True,0.5
2017-02-14T08:04:00.291260,1076000000.0,-72.2605056763,5.67536878586,-67.9189697607747,8.801764834133506,-4386375.848484849,True,0.25
2017-02-14T08:04:19.772374,1127000000.0,-72.0609664917,5.71145105362,-67.98088998179233,8.746061259948455,-4384036.545454546,True,0.25
2017-02-14T08:04:39.083479,1178000000.0,-72.7390823364,5.61134147644,-68.06937488560133,8.590232099211878,-4806448.797979798,True,0.25
2017-02-14T08:04:58.375582,1229000000.0,-72.4189071655,5.69447946548,-68.19195433799021,8.568813729894401,-4814428.855670103,True,0.5
2017-02-14T08:05:17.695687,1280000000.0,-72.7330245972,5.61806774139,-68.24192238580223,8.384193291789726,-4397559.755102041,True,0.25
2017-02-14T08:05:37.002791,1331000000.0,-72.5290374756,5.67415618896,-68.30212851708369,10.094549096638225,-4405556.649484536,True,0.5
2017-02-14T08:05:56.337897,1382000000.0,-71.8249206543,5.67611026764,-67.6882837991685,8.532186103359663,-4827991.96969697,True,0.25
2017-02-14T08:06:15.654002,1433000000.0,-71.9459991455,5.60621452332,-67.88286685116817,10.07213268090693,-4411121.907216495,True,0.75
2017-02-14T08:06:34.975107,1484000000.0,-71.7000045776,5.67645120621,-67.48351456545086,8.577120602715647,-4419095.686868687,True,0.25
2017-02-14T08:06:54.332214,1535000000.0,-71.7673950195,5.69088935852,-67.75065426622416,8.646187306693133,-4427068.173469388,True,0.25
2017-02-14T08:07:13.537313,1586000000.0,-71.6176757812,5.67556285858,-67.42331549349815,8.989256110726245,-4424870.686868687,True,0.25
2017-02-14T08:07:32.807415,1637000000.0,-71.4418106079,5.75807523727,-67.51243180348708,9.062493925963334,-4432663.142857143,True,0.25
2017-02-14T08:07:52.188524,1688000000.0,-71.8213882446,5.73463487625,-68.07385317966295,8.455610878530306,-4450183.683673469,True,0.25
2017-02-14T08:08:11.671638,1739000000.0,-72.0363311768,5.7373213768,-67.82609831268039,9.199192482593054,-4439000.469387755,True,0.25
2017-02-14T08:08:31.123750,1790000000.0,-72.1648635864,5.74189758301,-67.85089529972561,9.390100989351126,-4446206.204081632,True,0.25
2017-02-14T08:08:50.413854,1842000000.0,-72.0969467163,5.6640458107,-67.82834012928922,9.445826756849046,-4458956.816326531,True,0.25
2017-02-14T08:09:09.744959,1893000000.0,-71.741607666,5.74395370483,-67.02158796487953,9.748732732594933,-4456964.6632653065,True,0.25
2017-02-14T08:09:29.105067,1944000000.0,-71.7033462524,5.70583868027,-67.57764351516626,9.325689954465037,-4454965.818181818,True,0.25
2017-02-14T08:09:48.506176,1995000000.0,-71.5821456909,5.69024467468,-67.0609542472866,9.45053221376408,-4472526.653061224,True,0.25
2017-02-14T08:10:08.017292,2046000000.0,-71.3948516846,5.75927972794,-66.23988244007516,9.533302512021875,-4470911.5612244895,True,0.25
2017-02-14T08:10:27.458404,2097000000.0,-71.6197357178,5.65872383118,-66.45595811517288,8.771040875507742,-4468524.744897959,True,0.25
