timestamp,Frequency (Hz),SFU SNR (dB),FSW POWER(dBm),FSW SNR (dB),FSW OFFSET (Hz),AIM Power,AIM SNR,AIM Offset,AIM Demod Lock,AIM Demod Acq Time
2016-12-16T09:42:28.292052,270000000,8,-45.3701858521,9.25981235504,-159936.6875,-38.25679999999999,7.956400000000005,26228.44,True,0.0
2016-12-16T09:42:35.721477,270000000,9,-45.488910675,9.93241214752,10408.6298828,-38.519795918367336,8.9165306122449,26228.34693877551,True,0.0
2016-12-16T09:42:43.221906,270000000,10,-45.6155052185,10.6637372971,19.5044879913,-38.59326530612242,10.039183673469385,26233.0,True,0.0
2016-12-16T09:42:50.639330,270000000,11,-45.6525650024,11.4276218414,27.1207427979,-38.64979591836738,10.964285714285714,26233.0,True,0.0
2016-12-16T09:42:58.041753,270000000,12,-45.7207756042,12.257101059,43.662071228,-38.6914285714286,11.881632653061228,26233.0,True,0.0
2016-12-16T09:43:05.582185,270000000,13,-45.7320251465,13.1453371048,44.6132659912,-38.74080000000001,12.870800000000001,26233.0,True,0.0
2016-12-16T09:43:12.941606,270000000,14,-45.7426643372,14.0865020752,60.0751571655,-38.76530612244897,13.985714285714275,26233.0,True,0.0
2016-12-16T09:43:20.459036,270000000,15,-45.7695846558,15.0494976044,36.537361145,-38.79367346938773,14.96020408163265,26233.0,True,0.0
2016-12-16T09:43:27.890461,270000000,16,-45.8049201965,15.9819879532,48.9975471497,-38.822399999999966,15.9248,26233.0,True,0.0
2016-12-16T09:43:35.242881,270000000,17,-45.8014183044,16.986661911,34.1441040039,-38.945102040816344,16.91102040816326,26233.0,True,0.0
2016-12-16T09:43:42.594302,270000000,18,-45.8725509644,17.9821624756,45.2590522766,-39.0068,17.85839999999999,26233.0,True,0.0
2016-12-16T09:43:49.947722,270000000,19,-45.8319854736,18.978969574,47.8195838928,-38.967959183673486,18.58367346938775,26228.34693877551,True,0.0
2016-12-16T09:43:57.514155,270000000,20,-45.8342590332,19.946855545,45.1883544922,-38.96265306122449,19.6669387755102,26233.0,True,0.0
2016-12-16T09:44:05.196594,290000000,8,-45.2723617554,9.22912693024,2695.7565918,-38.29399999999997,7.976800000000004,24141.44,True,0.0
2016-12-16T09:44:12.564016,290000000,9,-45.375377655,9.91850280762,2687.08374023,-38.55755102040813,8.905306122448977,24141.34693877551,True,0.0
2016-12-16T09:44:20.062445,290000000,10,-45.4790649414,10.6254005432,2.1544919014,-38.661020408163296,9.972040816326526,23989.30612244898,True,0.0
2016-12-16T09:44:27.788887,290000000,11,-45.4950332642,11.3580846786,31.9839458466,-38.70560000000003,10.9308,23994.0,True,0.0
2016-12-16T09:44:35.149308,290000000,12,-45.5775604248,12.17964077,31.3128833771,-38.79061224489793,11.886122448979593,24141.34693877551,True,0.0
2016-12-16T09:44:42.433724,290000000,13,-45.6487426758,13.0600824356,45.1976470947,-38.855102040816284,12.954693877551012,24146.0,True,0.0
2016-12-16T09:44:49.864149,290000000,14,-45.6391983032,13.9456691742,59.6012191772,-38.82530612244895,13.942040816326527,23994.0,True,0.0
2016-12-16T09:44:57.164567,290000000,15,-45.6808624268,14.9433317184,49.1840362549,-38.97469387755103,14.736326530612237,23989.30612244898,True,0.0
2016-12-16T09:45:04.501986,290000000,16,-45.6859664917,15.871471405,58.5705680847,-38.96680000000002,15.7456,23989.4,True,0.0
2016-12-16T09:45:11.965413,290000000,17,-45.7060089111,16.8164558411,50.2059860229,-38.98061224489797,16.727755102040817,23989.30612244898,True,0.0
2016-12-16T09:45:19.348836,290000000,18,-45.7644882202,17.7475147247,46.474395752,-39.004081632653055,17.62734693877552,23994.0,True,0.0
2016-12-16T09:45:26.717257,290000000,19,-45.755065918,18.6595058441,60.6332054138,-39.02999999999998,18.84519999999999,23989.4,True,0.0
2016-12-16T09:45:34.117680,290000000,20,-45.7626991272,19.5255622864,53.4434204102,-39.02199999999999,19.862000000000005,23989.4,True,0.0
2016-12-16T09:45:41.669112,310000000,8,-45.2609214783,9.25572681427,40209.40625,-38.65734693877555,7.957959183673469,29821.0,True,0.0
2016-12-16T09:45:49.048534,310000000,9,-45.344871521,9.9514503479,4213.42773438,-38.75857142857142,8.980408163265313,29816.34693877551,True,0.0
2016-12-16T09:45:56.420956,310000000,10,-45.4403762817,10.6424064636,37.7169418335,-38.82959999999997,10.023200000000005,29821.0,True,0.0
2016-12-16T09:46:03.895384,310000000,11,-45.4797363281,11.4306211472,48.2036857605,-38.888,10.907600000000002,29973.0,True,0.0
2016-12-16T09:46:11.296807,310000000,12,-45.5443458557,12.2689113617,74.6632461548,-38.97720000000002,11.869200000000003,29968.44,True,0.0
2016-12-16T09:46:18.696230,310000000,13,-45.5865364075,13.1359758377,47.2945480347,-38.96400000000003,13.100399999999995,29816.44,True,0.0
2016-12-16T09:46:26.023649,310000000,14,-45.6552696228,14.0409383774,47.9446029663,-39.10999999999997,14.031199999999995,29821.0,True,0.0
2016-12-16T09:46:33.307066,310000000,15,-45.6252670288,15.0154209137,53.1487312317,-39.09799999999996,14.750799999999996,29821.0,True,0.0
2016-12-16T09:46:40.738491,310000000,16,-45.6736526489,15.9977960587,53.9869384766,-39.143877551020424,15.673673469387747,29973.0,True,0.0
2016-12-16T09:46:48.197918,310000000,17,-45.6818809509,16.9635620117,43.9322090149,-39.137599999999985,16.8492,29816.44,True,0.0
2016-12-16T09:46:55.526337,310000000,18,-45.7317199707,17.9743347168,61.310798645,-39.18360000000003,17.64879999999999,29821.0,True,0.0
