timestamp,Frequency (Hz),SFU SNR (dB),FSW POWER(dBm),FSW SNR (dB),FSW OFFSET (Hz),AIM Power,AIM SNR,AIM Offset,AIM Demod Lock,AIM Demod Acq Time
2016-12-16T09:42:28.292052,270000000,8,-29.3261858521,9.25981235504,-159936.6875,-30.347799999999992,7.956400000000005,26228.44,True,0.0
2016-12-16T09:42:35.721477,270000000,9,-29.444910675,9.93241214752,10408.6298828,-30.610795918367337,8.9165306122449,26228.34693877551,True,0.0
2016-12-16T09:42:43.221906,270000000,10,-29.571505218499997,10.6637372971,19.5044879913,-30.68426530612242,10.039183673469385,26233.0,True,0.0
2016-12-16T09:42:50.639330,270000000,11,-29.608565002400002,11.4276218414,27.1207427979,-30.740795918367382,10.964285714285714,26233.0,True,0.0
2016-12-16T09:42:58.041753,270000000,12,-29.6767756042,12.257101059,43.662071228,-30.782428571428603,11.881632653061228,26233.0,True,0.0
2016-12-16T09:43:05.582185,270000000,13,-29.6880251465,13.1453371048,44.6132659912,-30.83180000000001,12.870800000000001,26233.0,True,0.0
2016-12-16T09:43:12.941606,270000000,14,-29.698664337199997,14.0865020752,60.0751571655,-30.85630612244897,13.985714285714275,26233.0,True,0.0
2016-12-16T09:43:20.459036,270000000,15,-29.725584655800002,15.0494976044,36.537361145,-30.884673469387728,14.96020408163265,26233.0,True,0.0
2016-12-16T09:43:27.890461,270000000,16,-29.7609201965,15.9819879532,48.9975471497,-30.913399999999967,15.9248,26233.0,True,0.0
2016-12-16T09:43:35.242881,270000000,17,-29.7574183044,16.986661911,34.1441040039,-31.036102040816345,16.91102040816326,26233.0,True,0.0
2016-12-16T09:43:42.594302,270000000,18,-29.828550964399998,17.9821624756,45.2590522766,-31.0978,17.85839999999999,26233.0,True,0.0
2016-12-16T09:43:49.947722,270000000,19,-29.7879854736,18.978969574,47.8195838928,-31.058959183673487,18.58367346938775,26228.34693877551,True,0.0
2016-12-16T09:43:57.514155,270000000,20,-29.790259033199998,19.946855545,45.1883544922,-31.053653061224495,19.6669387755102,26233.0,True,0.0
2016-12-16T09:44:05.196594,290000000,8,-29.1883617554,9.22912693024,2695.7565918,-30.367499999999968,7.976800000000004,24141.44,True,0.0
2016-12-16T09:44:12.564016,290000000,9,-29.291377655,9.91850280762,2687.08374023,-30.631051020408126,8.905306122448977,24141.34693877551,True,0.0
2016-12-16T09:44:20.062445,290000000,10,-29.395064941399998,10.6254005432,2.1544919014,-30.734520408163295,9.972040816326526,23989.30612244898,True,0.0
2016-12-16T09:44:27.788887,290000000,11,-29.411033264200004,11.3580846786,31.9839458466,-30.77910000000003,10.9308,23994.0,True,0.0
2016-12-16T09:44:35.149308,290000000,12,-29.4935604248,12.17964077,31.3128833771,-30.864112244897928,11.886122448979593,24141.34693877551,True,0.0
2016-12-16T09:44:42.433724,290000000,13,-29.5647426758,13.0600824356,45.1976470947,-30.928602040816283,12.954693877551012,24146.0,True,0.0
2016-12-16T09:44:49.864149,290000000,14,-29.555198303199997,13.9456691742,59.6012191772,-30.89880612244895,13.942040816326527,23994.0,True,0.0
2016-12-16T09:44:57.164567,290000000,15,-29.596862426799998,14.9433317184,49.1840362549,-31.048193877551032,14.736326530612237,23989.30612244898,True,0.0
2016-12-16T09:45:04.501986,290000000,16,-29.6019664917,15.871471405,58.5705680847,-31.04030000000002,15.7456,23989.4,True,0.0
2016-12-16T09:45:11.965413,290000000,17,-29.6220089111,16.8164558411,50.2059860229,-31.05411224489797,16.727755102040817,23989.30612244898,True,0.0
2016-12-16T09:45:19.348836,290000000,18,-29.6804882202,17.7475147247,46.474395752,-31.077581632653054,17.62734693877552,23994.0,True,0.0
2016-12-16T09:45:26.717257,290000000,19,-29.671065918,18.6595058441,60.6332054138,-31.10349999999998,18.84519999999999,23989.4,True,0.0
2016-12-16T09:45:34.117680,290000000,20,-29.6786991272,19.5255622864,53.4434204102,-31.09549999999999,19.862000000000005,23989.4,True,0.0
2016-12-16T09:45:41.669112,310000000,8,-29.1359214783,9.25572681427,40209.40625,-30.716346938775548,7.957959183673469,29821.0,True,0.0
2016-12-16T09:45:49.048534,310000000,9,-29.219871521,9.9514503479,4213.42773438,-30.817571428571423,8.980408163265313,29816.34693877551,True,0.0
2016-12-16T09:45:56.420956,310000000,10,-29.315376281699997,10.6424064636,37.7169418335,-30.888599999999972,10.023200000000005,29821.0,True,0.0
2016-12-16T09:46:03.895384,310000000,11,-29.354736328100003,11.4306211472,48.2036857605,-30.947,10.907600000000002,29973.0,True,0.0
2016-12-16T09:46:11.296807,310000000,12,-29.4193458557,12.2689113617,74.6632461548,-31.03620000000002,11.869200000000003,29968.44,True,0.0
2016-12-16T09:46:18.696230,310000000,13,-29.4615364075,13.1359758377,47.2945480347,-31.023000000000028,13.100399999999995,29816.44,True,0.0
2016-12-16T09:46:26.023649,310000000,14,-29.5302696228,14.0409383774,47.9446029663,-31.168999999999972,14.031199999999995,29821.0,True,0.0
2016-12-16T09:46:33.307066,310000000,15,-29.500267028800003,15.0154209137,53.1487312317,-31.156999999999965,14.750799999999996,29821.0,True,0.0
2016-12-16T09:46:40.738491,310000000,16,-29.548652648900003,15.9977960587,53.9869384766,-31.202877551020425,15.673673469387747,29973.0,True,0.0
2016-12-16T09:46:48.197918,310000000,17,-29.556880950900002,16.9635620117,43.9322090149,-31.196599999999986,16.8492,29816.44,True,0.0
2016-12-16T09:46:55.526337,310000000,18,-29.6067199707,17.9743347168,61.310798645,-31.242600000000028,17.64879999999999,29821.0,True,0.0
