timestamp,Frequency (Hz),SFU SNR (dB),FSW POWER(dBm),FSW SNR (dB),FSW OFFSET (Hz)
2016-12-16T09:50:08.783390,350000000,18,-46.1479034424,18.0015678406,64.8645019531
2016-12-16T09:50:16.139811,350000000,19,-46.1165084839,19.0186634064,62.8990936279
2016-12-16T09:50:23.618239,350000000,20,-46.1062011719,20.0157642365,58.6363449097
2016-12-16T09:50:31.210673,370000000,8,-45.5569419861,9.27231884003,-9878.890625
2016-12-16T09:50:38.653099,370000000,9,-45.5996131897,9.9041852951,-21978.9648438
2016-12-16T09:50:46.111525,370000000,10,-45.7205581665,10.6833734512,85.1631393433
2016-12-16T09:50:53.611954,370000000,11,-45.7495079041,11.4138793945,101.141082764
2016-12-16T09:51:00.941374,370000000,12,-45.8450546265,12.2551574707,61.7820396423
2016-12-16T09:51:08.388800,370000000,13,-45.8289375305,13.1549434662,69.0092697144
2016-12-16T09:51:15.825225,370000000,14,-45.9127578735,14.0761556625,59.6128234863
2016-12-16T09:51:23.226648,370000000,15,-45.915435791,15.0380115509,56.7035331726
2016-12-16T09:51:30.677074,370000000,16,-45.9507293701,16.0113315582,64.7476425171
2016-12-16T09:51:38.044496,370000000,17,-45.9805870056,16.9934177399,54.1722297668
2016-12-16T09:51:45.342913,370000000,18,-45.9587135315,17.9715766907,72.088470459
2016-12-16T09:51:52.790339,370000000,19,-45.9727973938,18.9673080444,74.8554458618
2016-12-16T09:52:00.306769,370000000,20,-46.0812301636,19.9301395416,63.5872077942
2016-12-16T09:52:07.978208,390000000,8,-45.5022087097,9.25989532471,179005.578125
2016-12-16T09:52:15.344629,390000000,9,-45.6192970276,9.94557857513,34.9113960266
2016-12-16T09:52:22.847058,390000000,10,-45.6433181763,10.6550836563,48.313873291
2016-12-16T09:52:30.229481,390000000,11,-45.7380638123,11.4096717834,65.6771774292
2016-12-16T09:52:37.494896,390000000,12,-45.8283233643,12.2396278381,44.3188400269
2016-12-16T09:52:44.918321,390000000,13,-45.8647155762,13.1313419342,62.622253418
2016-12-16T09:52:52.347746,390000000,14,-45.8680229187,14.0197868347,44.9465789795
2016-12-16T09:52:59.662164,390000000,15,-45.893409729,14.9603862762,65.1495819092
2016-12-16T09:53:07.131591,390000000,16,-45.934841156,15.9058990479,67.2798843384
2016-12-16T09:53:14.450010,390000000,17,-45.9364776611,16.8513126373,65.2267303467
2016-12-16T09:53:21.762428,390000000,18,-45.9565010071,17.8364982605,75.8554077148
2016-12-16T09:53:29.264857,390000000,19,-45.9732131958,18.7688579559,69.8582992554
2016-12-16T09:53:36.684282,390000000,20,-45.989112854,19.6993751526,64.4408035278
2016-12-16T09:53:44.281716,410000000,8,-45.5626602173,9.25866031647,-27311.4765625
2016-12-16T09:53:51.584134,410000000,9,-45.607006073,9.93388748169,8646.02636719
2016-12-16T09:53:59.037560,410000000,10,-45.7422142029,10.6482400894,54.0459213257
2016-12-16T09:54:06.384980,410000000,11,-45.7948188782,11.4124727249,41.4223632812
2016-12-16T09:54:13.923412,410000000,12,-45.8859863281,12.2148761749,41.3598327637
2016-12-16T09:54:21.299834,410000000,13,-45.8710098267,13.0863246918,42.7844352722
2016-12-16T09:54:28.652254,410000000,14,-45.9266166687,14.0003032684,72.8095016479
2016-12-16T09:54:36.103680,410000000,15,-45.9642333984,14.9761400223,66.612991333
2016-12-16T09:54:43.440100,410000000,16,-45.9888458252,15.9017925262,81.4682388306
2016-12-16T09:54:50.754518,410000000,17,-46.0095405579,16.8930778503,68.3819198608
2016-12-16T09:54:58.269948,410000000,18,-46.0397491455,17.8458557129,64.0551452637
2016-12-16T09:55:05.686372,410000000,19,-45.9899520874,18.7667617798,66.5684356689
2016-12-16T09:55:13.057794,410000000,20,-46.0426673889,19.6944084167,73.5027618408
2016-12-16T09:55:20.671229,430000000,8,-45.7684898376,9.27655506134,-11411.2392578
2016-12-16T09:55:28.043651,430000000,9,-45.8658447266,9.90381813049,-35262.5039062
2016-12-16T09:55:35.561081,430000000,10,-45.8807106018,10.6528015137,82.3113708496
2016-12-16T09:55:42.906501,430000000,11,-45.9736671448,11.420044899,103.056587219
2016-12-16T09:55:50.343927,430000000,12,-46.0230064392,12.2487812042,80.3394927979
2016-12-16T09:55:57.907359,430000000,13,-46.0603408813,13.1368780136,65.3947753906
2016-12-16T09:56:05.242779,430000000,14,-46.0918121338,14.038977623,88.9804000854
2016-12-16T09:56:12.594199,430000000,15,-46.1075515747,15.0157728195,72.6814575195
2016-12-16T09:56:20.109629,430000000,16,-46.1180419922,16.0007133484,71.164894104
2016-12-16T09:56:27.432048,430000000,17,-46.1539726257,16.9123649597,63.6041870117
2016-12-16T09:56:34.861473,430000000,18,-46.1450386047,17.8746242523,68.6330184937
2016-12-16T09:56:42.245895,430000000,19,-46.1645088196,18.7900161743,65.0527572632
2016-12-16T09:56:49.565314,430000000,20,-46.1890449524,19.8290729523,73.9081039429
2016-12-16T09:56:57.243753,450000000,8,-45.5230369568,9.23223114014,88437.9609375
2016-12-16T09:57:04.596174,450000000,9,-45.6271781921,9.92019081116,-28348.1679688
2016-12-16T09:57:11.911592,450000000,10,-45.7313575745,10.5999956131,95.552772522
2016-12-16T09:57:19.364018,450000000,11,-45.808757782,11.3742837906,134.07371521
2016-12-16T09:57:26.865447,450000000,12,-45.8309555054,12.1491794586,52.0053596497
2016-12-16T09:57:34.297872,450000000,13,-45.8714561462,13.0559558868,88.3237380981
2016-12-16T09:57:41.728297,450000000,14,-45.8931350708,13.9312915802,73.366607666
2016-12-16T09:57:49.168723,450000000,15,-45.9410171509,14.9139204025,78.9685592651
2016-12-16T09:57:56.553145,450000000,16,-45.9580802917,15.8712749481,71.4507064819
