timestamp,Frequency (Hz),SFU Power (dBm),FSW Power (dBm),AIM Power (dBm),AIM SNR (dB),Demod Lock
2017-02-03T14:22:38.655631,1610000000,-65,-76.76605988,-78.25542714,15.4951149,TRUE
2017-02-03T14:22:52.147403,1630000000,-65,-76.91590881,-77.94525585,15.51094129,TRUE
2017-02-03T14:23:05.618173,1650000000,-65,-77.04985809,-77.72419113,15.43983043,TRUE
2017-02-03T14:23:19.105945,1670000000,-65,-77.06324005,-78.20972218,15.35920622,TRUE
2017-02-03T14:23:32.586716,1690000000,-65,-77.05938721,-78.37558863,15.37428259,TRUE
2017-02-03T14:23:46.075487,1710000000,-65,-77.11988831,-77.95809514,15.27182624,TRUE
2017-02-03T14:23:59.557259,1730000000,-65,-77.12535095,-77.78376754,15.08736109,TRUE
2017-02-03T14:24:13.048030,1750000000,-65,-77.19524384,-78.1000534,15.29819099,TRUE
2017-02-03T14:24:26.556803,1770000000,-65,-77.23253632,-78.05308274,15.18050937,TRUE
2017-02-03T14:24:40.052575,1790000000,-65,-77.35559082,-78.18651372,15.21689847,TRUE
2017-02-03T14:24:53.529346,1810000000,-65,-77.22771454,-78.05400559,15.46186858,TRUE
2017-02-03T14:25:06.993116,1830000000,-65,-77.08210754,-77.97811206,15.51127117,TRUE
2017-02-03T14:25:20.465886,1850000000,-65,-77.00123596,-78.11005544,15.32252081,TRUE
2017-02-03T14:25:33.956658,1870000000,-65,-77.07723999,-78.07882496,15.52211571,TRUE
2017-02-03T14:25:47.428428,1890000000,-65,-77.18606567,-78.04745853,15.33647824,TRUE
2017-02-03T14:26:00.900199,1910000000,-65,-77.17157745,-78.21521447,15.31795257,TRUE
2017-02-03T14:26:14.382970,1930000000,-65,-77.13511658,-78.29170609,15.15040213,TRUE
2017-02-03T14:26:27.869742,1950000000,-65,-77.12619019,-78.03743305,14.96126374,TRUE
2017-02-03T14:26:41.356513,1970000000,-65,-77.05702209,-77.90182415,14.67534133,TRUE
2017-02-03T14:26:54.862285,1990000000,-65,-76.77205658,-78.03962952,13.96070655,TRUE
2017-02-03T14:27:08.359057,2010000000,-65,-76.77937317,-77.92402334,13.81251602,TRUE
2017-02-03T14:27:21.836828,2030000000,-65,-76.9445343,-77.96936934,14.14810953,TRUE
2017-02-03T14:27:35.305599,2050000000,-65,-77.06225586,-77.92168345,13.95185481,TRUE
2017-02-03T14:27:48.775369,2070000000,-65,-76.83480835,-77.86974311,13.88059522,TRUE
2017-02-03T14:28:02.275141,2090000000,-65,-76.55757141,-77.88937849,13.56551184,TRUE
2017-02-03T14:28:15.766913,2110000000,-65,-76.48210907,-77.87494642,13.71213028,TRUE
2017-02-03T14:28:29.263685,2130000000,-65,-76.79347229,-78.02399839,13.35467617,TRUE
