timestamp,Frequency (Hz),SFU Power (dBm),FSW Power (dBm),AIM Power (dBm),AIM SNR (dB),AIM Offset (Hz),Demod Lock,Demod Acq Time,Power Error
2016-12-19T16:45:21.568112,270000000,-65,-64.3280550537,-65.9767142857143,13.406122448979593,26233.0,True,0.0,0.44112426234503005
2016-12-19T16:45:28.837528,270000000,-40,-39.7733561096,-41.48460000000001,27.091199999999994,26228.44,True,0.0,0.6370701540536206
2016-12-19T16:45:36.270953,270000000,-20,-19.633284240699997,-20.543857142857146,27.970204081632644,26228.34693877551,True,0.0,0.6524519344626458
2016-12-19T16:45:43.653375,290000000,-65,-64.3101726685,-66.0079,14.304799999999998,23994.0,True,0.0,0.4332604094728435
2016-12-19T16:45:50.929791,290000000,-40,-39.820914856,-41.529900000000005,27.636800000000004,24141.44,True,0.0,0.5661603832792815
2016-12-19T16:45:58.373217,290000000,-20,-19.600436798100002,-20.54615306122449,27.52877551020409,23994.0,True,0.0,0.42230296668308653
2016-12-19T16:46:05.757639,310000000,-65,-64.4182510376,-64.70620000000004,18.97387755102041,31166.673469387755,True,0.25,0.5508131726416864
2016-12-19T16:46:13.027055,310000000,-40,-39.8818969727,-41.59899999999999,26.185600000000004,31169.0,True,0.0,0.4426486637255682
2016-12-19T16:46:20.473481,310000000,-20,-19.6845436096,-20.68553061224491,27.55979591836735,31012.30612244898,True,0.0,0.5953614048583006
2016-12-19T16:46:27.856903,330000000,-65,-64.2499719238,-64.68929999999997,18.163877551020416,17859.673469387755,True,0.25,0.43971444101922824
2016-12-19T16:46:35.155321,330000000,-40,-39.7271142578,-41.61710000000002,28.8068,17862.0,True,0.0,0.593066251714513
2016-12-19T16:46:42.590746,330000000,-20,-19.498098907499998,-20.8719081632653,28.17653061224489,17710.0,True,0.0,0.6220434930759304
2016-12-19T16:46:49.990169,350000000,-65,-64.3182296753,-66.43407142857143,15.416326530612242,25037.0,True,0.0,0.8273145223383718
2016-12-19T16:46:57.276586,350000000,-40,-39.7518196106,-41.82243877551024,27.592448979591833,25037.0,True,0.0,1.0793911985275781
2016-12-19T16:47:04.732013,350000000,-20,-19.573463439900003,-21.436300000000003,29.672000000000008,25032.44,True,0.0,1.2392197998084566
2016-12-19T16:47:12.106434,370000000,-65,-64.2919205933,-66.13692857142857,15.39408163265307,21450.0,True,0.0,0.4162446678859979
2016-12-19T16:47:19.378850,370000000,-40,-39.705304077099996,-41.541418367346935,28.115102040816332,21597.34693877551,True,0.0,0.6528712936070551
2016-12-19T16:47:26.807275,370000000,-20,-19.532833984399996,-21.258561224489767,28.594693877551016,21445.30612244898,True,0.0,0.6502959751019516
2016-12-19T16:47:34.178697,390000000,-65,-64.3222271729,-66.20406122448982,15.290204081632652,28772.34693877551,True,0.0,0.42873783243229946
2016-12-19T16:47:41.462113,390000000,-40,-39.7378155518,-41.654061224489816,27.501020408163264,28777.0,True,0.0,0.5869741453794346
2016-12-19T16:47:48.762531,390000000,-20,-19.590209655800003,-21.34380000000001,27.093199999999996,28777.0,True,0.0,0.5704838124695798
2016-12-19T16:47:56.161954,410000000,-65,-64.35879010010001,-64.97710000000002,12.320816326530608,34754.67346938775,True,0.25,0.438670148629289
2016-12-19T16:48:03.436370,410000000,-40,-39.8351084595,-41.9833,28.028,34752.44,True,0.0,0.6689438560393924
2016-12-19T16:48:10.738788,410000000,-20,-19.644739807100002,-21.60450000000002,26.5352,34600.4,True,0.0,0.6754979405533318
2016-12-19T16:48:18.146212,430000000,-65,-64.4085199585,-65.34939999999997,14.457755102040817,32210.65306122449,True,0.25,0.4651140700640433
2016-12-19T16:48:25.398626,430000000,-40,-39.9228174438,-42.37587755102041,27.664693877551027,32208.30612244898,True,0.0,0.6827945698793894
2016-12-19T16:48:32.698044,430000000,-20,-19.681873535199998,-21.89628571428573,28.665102040816326,32213.0,True,0.0,0.5617804938318687
2016-12-19T16:48:40.081466,450000000,-65,-64.2979354248,-66.99550000000004,17.6865306122449,38035.34693877551,True,0.0,0.7992662755878004
2016-12-19T16:48:47.348882,450000000,-40,-39.798633514399995,-42.4683,28.6212,38035.44,True,0.0,1.084834766256829
2016-12-19T16:48:54.653300,450000000,-20,-19.6004943237,-21.85429999999998,27.93360000000001,38035.44,True,0.0,1.0615089731025016
2016-12-19T16:49:02.052723,470000000,-65,-64.2756671753,-66.79289999999999,18.628775510204086,35645.67346938775,True,0.25,0.5295730156263311
2016-12-19T16:49:09.342140,470000000,-40,-39.772218689,-42.17770000000001,27.796800000000008,35643.44,True,0.0,0.572919168859575
2016-12-19T16:49:16.643557,470000000,-20,-19.607034668,-21.570500000000003,27.72880000000001,35801.0,True,0.0,0.5951226945347629
2016-12-19T16:49:24.042981,490000000,-65,-64.0566536865,-65.14999999999998,17.224693877551033,32774.38775510204,True,0.25,0.4432811827379158
2016-12-19T16:49:31.319397,490000000,-40,-39.5950142822,-42.05799999999999,27.73673469387756,33409.0,True,0.0,0.48646042153264024
2016-12-19T16:49:38.615814,490000000,-20,-19.372270294199996,-21.31044897959184,28.109999999999996,33409.0,True,0.0,0.6843878376502657
2016-12-19T16:49:46.016237,510000000,-65,-64.19375146479999,-66.74528571428574,17.837142857142858,29821.0,True,0.0,0.38747485072123045
2016-12-19T16:49:53.300654,510000000,-40,-39.6229621277,-42.163448979591855,27.95612244897958,29816.34693877551,True,0.0,0.6129887430923481
2016-12-19T16:50:00.743080,510000000,-20,-19.535941253700003,-21.561800000000027,27.0456,29821.0,True,0.0,0.5967128067764018
