timestamp,Frequency (Hz),SFU Power (dBm),FSW Power (dBm),AIM Power,AIM SNR,AIM Offset,AIM Demod Lock,AIM Demod Acq Time,AIM Power Error
2016-12-19T16:45:21.568112,270000000,-65,-80.3720550537,-73.88558612704743,13.407230644855927,26233.0,True,0.0,0.44112426234503005
2016-12-19T16:45:28.837528,270000000,-40,-55.8173561096,-49.39332578465198,27.122219342763753,26228.44,True,0.0,0.6370701540536206
2016-12-19T16:45:36.270953,270000000,-20,-35.6772842407,-28.452562697462874,27.98705876605741,26228.34693877551,True,0.0,0.6524519344626458
2016-12-19T16:45:43.653375,290000000,-65,-80.3941726685,-73.93427925774392,14.30547516245177,23994.0,True,0.0,0.4332604094728435
2016-12-19T16:45:50.929791,290000000,-40,-55.904914856,-49.45618731508198,27.735702087963944,24141.44,True,0.0,0.5661603832792815
2016-12-19T16:45:58.373217,290000000,-20,-35.6844367981,-28.47253653663436,27.594150902747316,23994.0,True,0.0,0.42230296668308653
2016-12-19T16:46:05.757639,310000000,-65,-80.5432510376,-74.12959128253028,18.97520220486698,31166.673469387755,True,0.25,0.5508131726416864
2016-12-19T16:46:13.027055,310000000,-40,-56.0068969727,-49.539873152241036,26.257015642365943,31169.0,True,0.0,0.4426486637255682
2016-12-19T16:46:20.473481,310000000,-20,-35.8095436096,-28.6262895178389,27.60861404666038,31012.30612244898,True,0.0,0.5953614048583006
2016-12-19T16:46:27.856903,330000000,-65,-80.4399719238,-74.17109767204472,18.172589842231872,17859.673469387755,True,0.25,0.43971444101922824
2016-12-19T16:46:35.155321,330000000,-40,-55.9171142578,-49.61536506043463,28.857727677650672,17862.0,True,0.0,0.593066251714513
2016-12-19T16:46:42.590746,330000000,-20,-35.6880989075,-28.87014146421897,28.202408917455116,17710.0,True,0.0,0.6220434930759304
2016-12-19T16:46:49.990169,350000000,-65,-80.5682296753,-74.4780943568942,15.417642470483406,25037.0,True,0.0,0.8273145223383718
2016-12-19T16:46:57.276586,350000000,-40,-56.0018196106,-49.866084597146305,27.626554772180796,25037.0,True,0.0,1.0793911985275781
2016-12-19T16:47:04.732013,350000000,-20,-35.8234634399,-29.47966217820621,29.674512586313742,25032.44,True,0.0,1.2392197998084566
2016-12-19T16:47:12.106434,370000000,-65,-80.5889205933,-74.20131533153078,15.395214513766582,21450.0,True,0.0,0.4162446678859979
2016-12-19T16:47:19.378850,370000000,-40,-56.0023040771,-49.605622560525745,28.169225055659012,21597.34693877551,True,0.0,0.6528712936070551
2016-12-19T16:47:26.807275,370000000,-20,-35.8298339844,-29.322769918687044,28.607096897194374,21445.30612244898,True,0.0,0.6502959751019516
2016-12-19T16:47:34.178697,390000000,-65,-80.6422271729,-74.33294080461017,15.292299212178836,28772.34693877551,True,0.0,0.42873783243229946
2016-12-19T16:47:41.462113,390000000,-40,-56.0578155518,-49.78282671823727,27.532264673756977,28777.0,True,0.0,0.5869741453794346
2016-12-19T16:47:48.762531,390000000,-20,-35.9102096558,-29.472582693677047,27.109185023717842,28777.0,True,0.0,0.5704838124695798
2016-12-19T16:47:56.161954,410000000,-65,-80.7707901001,-74.64538346335132,12.324165465723526,34754.67346938775,True,0.25,0.438670148629289
2016-12-19T16:48:03.436370,410000000,-40,-56.2471084595,-50.158495741220506,28.08201946381979,34752.44,True,0.0,0.6689438560393924
2016-12-19T16:48:10.738788,410000000,-20,-36.0567398071,-29.77968825484419,26.59886424941824,34600.4,True,0.0,0.6754979405533318
2016-12-19T16:48:18.146212,430000000,-65,-80.8595199585,-75.06863178533278,14.463543856502206,32210.65306122449,True,0.25,0.4651140700640433
2016-12-19T16:48:25.398626,430000000,-40,-56.3738174438,-50.59355270020123,27.789577572219194,32208.30612244898,True,0.0,0.6827945698793894
2016-12-19T16:48:32.698044,430000000,-20,-36.1328735352,-30.1140726676618,28.71055757847156,32213.0,True,0.0,0.5617804938318687
2016-12-19T16:48:40.081466,450000000,-65,-80.8119354248,-75.22955743303045,17.690576436942614,38035.34693877551,True,0.0,0.7992662755878004
2016-12-19T16:48:47.348882,450000000,-40,-56.3126335144,-50.7019442776302,28.671060355671308,38035.44,True,0.0,1.084834766256829
2016-12-19T16:48:54.653300,450000000,-20,-36.1144943237,-30.087984895050806,27.970287182988983,38035.44,True,0.0,1.0615089731025016
2016-12-19T16:49:02.052723,470000000,-65,-80.8416671753,-75.06621513819154,18.63237915369845,35645.67346938775,True,0.25,0.5295730156263311
2016-12-19T16:49:09.342140,470000000,-40,-56.338218689,-50.450981541420255,27.80706119371436,35643.44,True,0.0,0.572919168859575
2016-12-19T16:49:16.643557,470000000,-20,-36.173034668,-29.843763298610938,27.842712598025333,35801.0,True,0.0,0.5951226945347629
2016-12-19T16:49:24.042981,490000000,-65,-80.8106536865,-75.23660566048166,17.225564050994645,32774.38775510204,True,0.25,0.4432811827379158
2016-12-19T16:49:31.319397,490000000,-40,-56.3490142822,-50.63984264996538,27.78794018799222,33409.0,True,0.0,0.48646042153264024
2016-12-19T16:49:38.615814,490000000,-20,-36.1262702942,-29.89212304759574,28.15694607509069,33409.0,True,0.0,0.6843878376502657
2016-12-19T16:49:46.016237,510000000,-65,-81.0077514648,-75.334188381624,17.84039851341756,29821.0,True,0.0,0.38747485072123045
2016-12-19T16:49:53.300654,510000000,-40,-56.4369621277,-50.752190791951115,27.999551357814,29816.34693877551,True,0.0,0.6129887430923481
2016-12-19T16:50:00.743080,510000000,-20,-36.3499412537,-30.15056289807157,27.119252203278712,29821.0,True,0.0,0.5967128067764018
