timestamp,Frequency (Hz),SFU Power (dBm),FSW Power (dBm)
2016-12-19T16:56:17.227613,1070000000,-20,-37.2153587341
2016-12-19T16:56:24.613036,1090000000,-65,-81.7913208008
2016-12-19T16:56:31.868451,1090000000,-40,-57.3536453247
2016-12-19T16:56:39.312877,1090000000,-20,-37.1760787964
2016-12-19T16:56:46.714300,1110000000,-65,-81.8226547241
2016-12-19T16:56:53.983716,1110000000,-40,-57.3491134644
2016-12-19T16:57:01.429142,1110000000,-20,-37.1569290161
2016-12-19T16:57:08.797563,1130000000,-65,-81.7881851196
2016-12-19T16:57:16.080980,1130000000,-40,-57.2887001038
2016-12-19T16:57:23.530406,1130000000,-20,-37.1082649231
2016-12-19T16:57:30.916828,1150000000,-65,-81.8544387817
2016-12-19T16:57:38.176243,1150000000,-40,-57.3833389282
2016-12-19T16:57:45.630670,1150000000,-20,-37.1953887939
2016-12-19T16:57:53.001091,1170000000,-65,-81.9673995972
2016-12-19T16:58:00.274507,1170000000,-40,-57.5283622742
2016-12-19T16:58:07.700932,1170000000,-20,-37.3924179077
2016-12-19T16:58:15.074354,1190000000,-65,-81.9521789551
2016-12-19T16:58:22.377772,1190000000,-40,-57.4866409302
2016-12-19T16:58:29.821197,1190000000,-20,-37.3507881165
2016-12-19T16:58:37.219621,1210000000,-65,-82.0246734619
2016-12-19T16:58:44.475036,1210000000,-40,-57.6068267822
2016-12-19T16:58:51.935462,1210000000,-20,-37.4190483093
2016-12-19T16:58:59.273882,1230000000,-65,-81.9916229248
2016-12-19T16:59:06.506296,1230000000,-40,-57.5710449219
2016-12-19T16:59:13.939721,1230000000,-20,-37.3832969666
2016-12-19T16:59:21.480152,1250000000,-65,-82.0904541016
2016-12-19T16:59:28.738567,1250000000,-40,-57.6694641113
2016-12-19T16:59:36.182993,1250000000,-20,-37.4927978516
2016-12-19T16:59:43.554415,1270000000,-65,-82.0797805786
2016-12-19T16:59:50.809830,1270000000,-40,-57.6389083862
2016-12-19T16:59:58.292258,1270000000,-20,-37.4309806824
2016-12-19T17:00:05.681680,1290000000,-65,-82.0342636108
2016-12-19T17:00:12.985098,1290000000,-40,-57.5855941772
2016-12-19T17:00:20.427524,1290000000,-20,-37.3893051147
2016-12-19T17:00:27.826947,1310000000,-65,-82.1708374023
2016-12-19T17:00:35.127365,1310000000,-40,-57.7330093384
2016-12-19T17:00:42.584791,1310000000,-20,-37.5183410645
2016-12-19T17:00:49.983214,1330000000,-65,-82.1786193848
2016-12-19T17:00:57.263631,1330000000,-40,-57.7347221375
2016-12-19T17:01:04.700056,1330000000,-20,-37.5359420776
2016-12-19T17:01:12.084478,1350000000,-65,-82.2551040649
2016-12-19T17:01:19.345894,1350000000,-40,-57.823387146
2016-12-19T17:01:26.790319,1350000000,-20,-37.5979499817
2016-12-19T17:01:34.190743,1370000000,-65,-82.1977081299
2016-12-19T17:01:41.450158,1370000000,-40,-57.7803878784
2016-12-19T17:01:48.894584,1370000000,-20,-37.5798187256
2016-12-19T17:01:56.292007,1390000000,-65,-82.2876358032
2016-12-19T17:02:03.564423,1390000000,-40,-57.862953186
2016-12-19T17:02:11.001848,1390000000,-20,-37.6352043152
2016-12-19T17:02:18.396271,1410000000,-65,-82.2554016113
2016-12-19T17:02:25.691688,1410000000,-40,-57.8843612671
2016-12-19T17:02:33.119113,1410000000,-20,-37.6696052551
2016-12-19T17:02:40.520537,1430000000,-65,-82.1744537354
2016-12-19T17:02:47.792953,1430000000,-40,-57.7761688232
2016-12-19T17:02:55.238378,1430000000,-20,-37.5858879089
2016-12-19T17:03:02.605800,1450000000,-65,-82.2398223877
2016-12-19T17:03:09.855214,1450000000,-40,-57.8742790222
2016-12-19T17:03:17.295640,1450000000,-20,-37.6277084351
2016-12-19T17:03:24.657061,1470000000,-65,-82.2105407715
2016-12-19T17:03:31.926477,1470000000,-40,-57.8301048279
2016-12-19T17:03:39.356902,1470000000,-20,-37.6346969604
2016-12-19T17:03:46.727323,1490000000,-65,-82.2550506592
2016-12-19T17:03:54.010740,1490000000,-40,-57.8784408569
2016-12-19T17:04:01.444165,1490000000,-20,-37.665019989
2016-12-19T17:04:08.842588,1510000000,-65,-82.3273773193
2016-12-19T17:04:16.111004,1510000000,-40,-57.9495811462
2016-12-19T17:04:23.545429,1510000000,-20,-37.756111145
2016-12-19T17:04:30.931852,1530000000,-65,-82.4415588379
2016-12-19T17:04:38.179266,1530000000,-40,-58.0916824341
2016-12-19T17:04:45.615692,1530000000,-20,-37.8809814453
2016-12-19T17:04:52.980113,1550000000,-65,-82.404296875
2016-12-19T17:05:00.229527,1550000000,-40,-58.0192337036
2016-12-19T17:05:07.663953,1550000000,-20,-37.8144035339
2016-12-19T17:05:15.049375,1570000000,-65,-82.525100708
2016-12-19T17:05:22.315791,1570000000,-40,-58.1337165833
2016-12-19T17:05:29.983229,1570000000,-20,-37.9543800354
2016-12-19T17:05:37.362651,1590000000,-65,-82.5620422363
2016-12-19T17:05:44.618066,1590000000,-40,-58.1461296082
2016-12-19T17:05:52.051492,1590000000,-20,-37.9419136047
2016-12-19T17:05:59.421913,1610000000,-65,-82.6032943726
2016-12-19T17:06:06.707330,1610000000,-40,-58.1592330933
2016-12-19T17:06:14.151756,1610000000,-20,-38.0064353943
2016-12-19T17:06:21.534178,1630000000,-65,-82.5810699463
2016-12-19T17:06:28.809594,1630000000,-40,-58.1345367432
2016-12-19T17:06:36.238019,1630000000,-20,-37.9809532166
2016-12-19T17:06:43.654443,1650000000,-65,-82.5639038086
2016-12-19T17:06:50.908858,1650000000,-40,-58.2175254822
2016-12-19T17:06:58.341283,1650000000,-20,-38.0281600952
2016-12-19T17:07:05.709705,1670000000,-65,-82.5805969238
2016-12-19T17:07:12.956119,1670000000,-40,-58.2259216309
2016-12-19T17:07:20.388544,1670000000,-20,-37.9608039856
2016-12-19T17:07:27.771966,1690000000,-65,-82.6430130005
2016-12-19T17:07:35.027381,1690000000,-40,-58.2112693787
2016-12-19T17:07:42.471807,1690000000,-20,-37.9947509766
2016-12-19T17:07:49.857230,1710000000,-65,-82.7226104736
2016-12-19T17:07:57.129646,1710000000,-40,-58.3139076233
2016-12-19T17:08:04.574071,1710000000,-20,-38.1071243286
2016-12-19T17:08:11.975495,1730000000,-65,-82.585723877
2016-12-19T17:08:19.257911,1730000000,-40,-58.1558151245
2016-12-19T17:08:26.693337,1730000000,-20,-37.995765686
2016-12-19T17:08:34.475782,1750000000,-65,-82.7021789551
2016-12-19T17:08:41.731197,1750000000,-40,-58.2786941528
2016-12-19T17:08:49.163622,1750000000,-20,-38.1253509521
2016-12-19T17:08:56.546044,1770000000,-65,-82.6589050293
2016-12-19T17:09:03.819460,1770000000,-40,-58.2184257507
2016-12-19T17:09:11.277887,1770000000,-20,-38.0119094849
2016-12-19T17:09:18.678310,1790000000,-65,-82.7540435791
2016-12-19T17:09:25.931725,1790000000,-40,-58.3664131165
2016-12-19T17:09:33.365150,1790000000,-20,-38.1796302795
2016-12-19T17:09:40.728571,1810000000,-65,-82.6705245972
2016-12-19T17:09:47.999987,1810000000,-40,-58.2900810242
2016-12-19T17:09:55.436412,1810000000,-20,-38.054145813
2016-12-19T17:10:02.824835,1830000000,-65,-82.6739959717
2016-12-19T17:10:10.069249,1830000000,-40,-58.3011054993
2016-12-19T17:10:17.502674,1830000000,-20,-38.089099884
2016-12-19T17:10:24.884097,1850000000,-65,-82.6971893311
2016-12-19T17:10:32.152512,1850000000,-40,-58.2982406616
2016-12-19T17:10:39.582937,1850000000,-20,-38.1064071655
2016-12-19T17:10:46.971360,1870000000,-65,-82.7498168945
2016-12-19T17:10:54.254777,1870000000,-40,-58.3606262207
2016-12-19T17:11:01.686202,1870000000,-20,-38.1535339355
2016-12-19T17:11:09.057623,1890000000,-65,-82.769241333
2016-12-19T17:11:16.326039,1890000000,-40,-58.388633728
2016-12-19T17:11:23.773465,1890000000,-20,-38.1949501038
2016-12-19T17:11:31.141886,1910000000,-65,-82.7711029053
2016-12-19T17:11:38.574312,1910000000,-40,-58.3538894653
2016-12-19T17:11:45.989736,1910000000,-20,-38.1818122864
2016-12-19T17:11:53.407160,1930000000,-65,-82.7176818848
2016-12-19T17:12:00.657575,1930000000,-40,-58.3485794067
2016-12-19T17:12:08.072999,1930000000,-20,-38.1792526245
2016-12-19T17:12:15.476422,1950000000,-65,-82.7055053711
2016-12-19T17:12:22.758839,1950000000,-40,-58.347568512
2016-12-19T17:12:30.179263,1950000000,-20,-38.1636772156
2016-12-19T17:12:37.561685,1970000000,-65,-82.787437439
2016-12-19T17:12:44.847102,1970000000,-40,-58.4534835815
