timestamp,Frequency (Hz),SFU Power (dBm),FSW Power (dBm),AIM Power (dBm),AIM SNR (dB),Demod Lock
2017-02-03T15:47:42.443551,1610000000,-65,-82.27906799,-78.20316073,15.30870281,TRUE
2017-02-03T15:47:55.917322,1630000000,-65,-82.44815063,-77.95451962,15.47576278,TRUE
2017-02-03T15:48:09.397093,1650000000,-65,-82.59162903,-77.73036489,15.3124837,TRUE
2017-02-03T15:48:22.887865,1670000000,-65,-82.52850342,-78.25792206,15.42573919,TRUE
2017-02-03T15:48:36.374636,1690000000,-65,-82.42038727,-78.32950768,15.23934173,TRUE
2017-02-03T15:48:49.851407,1710000000,-65,-82.40933228,-77.91788032,15.09896373,TRUE
2017-02-03T15:49:03.336178,1730000000,-65,-82.2917099,-77.80013531,15.35536367,TRUE
2017-02-03T15:49:16.819949,1750000000,-65,-82.43873596,-78.11840612,15.23948223,TRUE
2017-02-03T15:49:30.289720,1770000000,-65,-82.32064819,-78.02748826,15.30175042,TRUE
2017-02-03T15:49:43.776491,1790000000,-65,-82.61395264,-78.14761431,15.26331512,TRUE
2017-02-03T15:49:57.281264,1810000000,-65,-82.34423828,-78.06088797,15.4025638,TRUE
2017-02-03T15:50:10.774035,1830000000,-65,-82.26100159,-77.96787417,15.43459922,TRUE
2017-02-03T15:50:24.241806,1850000000,-65,-82.0933075,-78.12585433,15.62092934,TRUE
2017-02-03T15:50:37.738578,1870000000,-65,-82.29160309,-78.06037238,15.43822404,TRUE
2017-02-03T15:50:51.223349,1890000000,-65,-82.55503845,-78.05426364,15.06673848,TRUE
2017-02-03T15:51:04.702120,1910000000,-65,-82.72801209,-78.15239891,15.31974636,TRUE
2017-02-03T15:51:18.145889,1930000000,-65,-82.84445953,-78.22520697,14.98451457,TRUE
2017-02-03T15:51:31.630660,1950000000,-65,-82.92487335,-78.09297685,14.86656199,TRUE
2017-02-03T15:51:45.111431,1970000000,-65,-82.88361359,-77.92424606,14.61125629,TRUE
2017-02-03T15:51:58.601203,1990000000,-65,-82.55537415,-78.05725821,14.05531522,TRUE
2017-02-03T15:52:12.047972,2010000000,-65,-82.73423004,-77.91177891,14.17965445,TRUE
2017-02-03T15:52:25.516742,2030000000,-65,-82.77190399,-77.92850939,14.29430398,TRUE
2017-02-03T15:52:39.002513,2050000000,-65,-82.95545959,-77.90285667,13.95947595,TRUE
2017-02-03T15:52:52.488285,2070000000,-65,-82.50041962,-77.86726105,13.84084472,TRUE
2017-02-03T15:53:05.968056,2090000000,-65,-82.33320618,-77.93661116,13.67209402,TRUE
2017-02-03T15:53:19.451827,2110000000,-65,-82.25642395,-77.83441354,13.61950774,TRUE
2017-02-03T15:53:32.937598,2130000000,-65,-82.62242126,-77.99652961,13.63102678,TRUE
