timestamp,Frequency (Hz),SFU Power (dBm),FSW Power (dBm)
2016-12-14T18:36:28.419879,1070000000,-20,-32.7347412109
2016-12-14T18:36:35.295272,1090000000,-65,-77.6224060059
2016-12-14T18:36:41.947652,1090000000,-40,-52.8387031555
2016-12-14T18:36:48.856047,1090000000,-20,-32.7948188782
2016-12-14T18:36:55.747442,1110000000,-65,-77.5376052856
2016-12-14T18:37:02.414823,1110000000,-40,-52.7811012268
2016-12-14T18:37:09.324218,1110000000,-20,-32.6921348572
2016-12-14T18:37:16.232613,1130000000,-65,-77.5021514893
2016-12-14T18:37:22.866993,1130000000,-40,-52.696434021
2016-12-14T18:37:29.759387,1130000000,-20,-32.6460800171
2016-12-14T18:37:36.666782,1150000000,-65,-77.6468200684
2016-12-14T18:37:43.303162,1150000000,-40,-52.8248558044
2016-12-14T18:37:50.210557,1150000000,-20,-32.8087310791
2016-12-14T18:37:57.117952,1170000000,-65,-77.6529998779
2016-12-14T18:38:03.770332,1170000000,-40,-52.941619873
2016-12-14T18:38:10.709729,1170000000,-20,-32.8326339722
2016-12-14T18:38:17.585122,1190000000,-65,-77.6859130859
2016-12-14T18:38:24.238503,1190000000,-40,-52.9200325012
2016-12-14T18:38:31.144898,1190000000,-20,-32.8297576904
2016-12-14T18:38:38.038292,1210000000,-65,-77.7818603516
2016-12-14T18:38:44.688673,1210000000,-40,-52.9787521362
2016-12-14T18:38:51.597068,1210000000,-20,-32.9053535461
2016-12-14T18:38:58.472461,1230000000,-65,-77.6745452881
2016-12-14T18:39:05.124842,1230000000,-40,-52.9351997375
2016-12-14T18:39:12.043237,1230000000,-20,-32.8602600098
2016-12-14T18:39:19.013636,1250000000,-65,-77.6853790283
2016-12-14T18:39:25.665016,1250000000,-40,-52.9381370544
2016-12-14T18:39:32.557411,1250000000,-20,-32.8856430054
2016-12-14T18:39:39.464806,1270000000,-65,-77.720123291
2016-12-14T18:39:46.117186,1270000000,-40,-53.0086479187
2016-12-14T18:39:53.046583,1270000000,-20,-32.9989929199
2016-12-14T18:39:59.937977,1290000000,-65,-77.7028579712
2016-12-14T18:40:06.605358,1290000000,-40,-52.9871673584
2016-12-14T18:40:13.496752,1290000000,-20,-32.9810295105
2016-12-14T18:40:20.421148,1310000000,-65,-77.78931427
2016-12-14T18:40:27.072529,1310000000,-40,-53.0987243652
2016-12-14T18:40:33.980924,1310000000,-20,-33.0789108276
2016-12-14T18:40:40.888319,1330000000,-65,-77.91771698
2016-12-14T18:40:47.524699,1330000000,-40,-53.2359008789
2016-12-14T18:40:54.416093,1330000000,-20,-33.1584396362
2016-12-14T18:41:01.324488,1350000000,-65,-78.0706710815
2016-12-14T18:41:07.960867,1350000000,-40,-53.3907623291
2016-12-14T18:41:14.868263,1350000000,-20,-33.3112220764
2016-12-14T18:41:21.759657,1370000000,-65,-78.0315856934
2016-12-14T18:41:28.396036,1370000000,-40,-53.3626976013
2016-12-14T18:41:35.287430,1370000000,-20,-33.2327919006
2016-12-14T18:41:42.163824,1390000000,-65,-78.0072860718
2016-12-14T18:41:48.815204,1390000000,-40,-53.3596878052
2016-12-14T18:41:55.706598,1390000000,-20,-33.2392044067
2016-12-14T18:42:02.582992,1410000000,-65,-78.1754989624
2016-12-14T18:42:09.218371,1410000000,-40,-53.5370063782
2016-12-14T18:42:16.110765,1410000000,-20,-33.3813285828
2016-12-14T18:42:23.158168,1430000000,-65,-78.1918029785
2016-12-14T18:42:29.808549,1430000000,-40,-53.4755783081
2016-12-14T18:42:36.732945,1430000000,-20,-33.3900375366
2016-12-14T18:42:43.624339,1450000000,-65,-78.0518035889
2016-12-14T18:42:50.259719,1450000000,-40,-53.390625
2016-12-14T18:42:57.163113,1450000000,-20,-33.2634239197
2016-12-14T18:43:04.055508,1470000000,-65,-78.2466201782
2016-12-14T18:43:10.690887,1470000000,-40,-53.5424461365
2016-12-14T18:43:17.598282,1470000000,-20,-33.4405174255
2016-12-14T18:43:24.489676,1490000000,-65,-78.3438262939
2016-12-14T18:43:31.158058,1490000000,-40,-53.5630187988
2016-12-14T18:43:37.969447,1490000000,-20,-33.4223175049
2016-12-14T18:43:44.748835,1510000000,-65,-78.2591934204
2016-12-14T18:43:51.385215,1510000000,-40,-53.5200653076
2016-12-14T18:43:58.276609,1510000000,-20,-33.480670929
2016-12-14T18:44:05.169003,1530000000,-65,-78.4972381592
2016-12-14T18:44:11.804383,1530000000,-40,-53.7524490356
2016-12-14T18:44:18.695777,1530000000,-20,-33.6924476624
2016-12-14T18:44:25.604172,1550000000,-65,-78.6238021851
2016-12-14T18:44:32.263553,1550000000,-40,-53.9440536499
2016-12-14T18:44:39.073942,1550000000,-20,-33.7430229187
2016-12-14T18:44:45.837329,1570000000,-65,-78.5609436035
2016-12-14T18:44:52.473709,1570000000,-40,-53.8942680359
2016-12-14T18:44:59.365103,1570000000,-20,-33.7996635437
2016-12-14T18:45:06.264498,1590000000,-65,-78.7135620117
2016-12-14T18:45:12.899877,1590000000,-40,-53.9680786133
2016-12-14T18:45:19.711267,1590000000,-20,-33.8250274658
2016-12-14T18:45:26.490654,1610000000,-65,-78.9333267212
2016-12-14T18:45:33.143035,1610000000,-40,-54.2595977783
2016-12-14T18:45:39.966425,1610000000,-20,-34.1142807007
2016-12-14T18:45:46.745813,1630000000,-65,-78.7327804565
2016-12-14T18:45:53.557203,1630000000,-40,-54.0787963867
2016-12-14T18:46:00.448597,1630000000,-20,-33.9220199585
2016-12-14T18:46:07.324990,1650000000,-65,-78.67628479
2016-12-14T18:46:13.969370,1650000000,-40,-54.0203781128
2016-12-14T18:46:20.795761,1650000000,-20,-33.8491592407
2016-12-14T18:46:27.560147,1670000000,-65,-78.8237533569
2016-12-14T18:46:34.211528,1670000000,-40,-54.2662849426
2016-12-14T18:46:41.023918,1670000000,-20,-34.0033340454
2016-12-14T18:46:47.803305,1690000000,-65,-78.6818389893
2016-12-14T18:46:54.439685,1690000000,-40,-54.0682373047
2016-12-14T18:47:01.235074,1690000000,-20,-33.8634338379
2016-12-14T18:47:07.999460,1710000000,-65,-78.6273651123
2016-12-14T18:47:14.650841,1710000000,-40,-53.989238739
2016-12-14T18:47:21.476231,1710000000,-20,-33.8333854675
